,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice
2334,000602-00-0364,C02,C03,C09,C06,C05,,,,,,,,,,,
2335,000602-00-0375,C02,C03,C09,C05,C11,C15,C01,C13,,,,,,,,
2336,000602-00-0398,C02,C05,,,,,,,,,,,,,,
2337,000602-00-0423,C02,C09,C12,C01,C07,C13,C06,C16,C11,,,,,,,
2338,000602-00-0450,C02,C01,C13,C06,C11,,,,,,,,,,,
2339,000602-00-0464,C02,C03,C09,C12,C16,C06,,,,,,,,,,
2340,000602-00-0471,C02,C01,C09,C11,C13,C16,C12,C05,C10,,,,,,,
2341,000602-00-0510,C02,C04,C03,C01,C09,C12,C13,C11,C06,C05,C15,C16,C07,C14,,
2342,000602-00-0530,C02,C09,C01,C13,,,,,,,,,,,,
2343,000602-00-0562,C02,C01,C11,C13,C03,C15,C12,C09,C10,,,,,,,
2344,000602-00-0589,C02,C01,C13,C09,,,,,,,,,,,,
2345,000602-00-0634,C02,C03,C09,,,,,,,,,,,,,
2346,000602-00-0641,C02,,,,,,,,,,,,,,,
2347,000602-00-0659,C02,C09,C01,C13,C12,C16,C11,C05,C04,,,,,,,
2348,000602-00-0661,C02,C09,C01,C11,C13,C16,C12,C05,C04,,,,,,,
2349,000602-00-0666,C02,C13,C04,C09,C12,,,,,,,,,,,
2350,000301-00-0028,C02,C15,,,,,,,,,,,,,,
2351,000301-00-0082,C02,C11,C01,C13,C05,C16,C12,C09,C04,,,,,,,
2352,000301-00-0184,C02,C13,C16,C15,C01,C03,,,,,,,,,,
2353,000301-00-0200,C02,C15,,,,,,,,,,,,,,
2354,000301-00-0234,C02,C14,C15,,,,,,,,,,,,,
2355,000301-00-0309,C02,C12,C13,C05,C01,,,,,,,,,,,
2356,000301-00-0495,C02,C03,C05,C06,C07,C08,C09,C10,C01,C16,C15,C14,C13,C12,C11,
2357,000301-00-0511,C02,C13,C16,C05,C01,C12,C09,,,,,,,,,
2358,000301-00-0721,C02,C01,C06,,,,,,,,,,,,,
2359,000301-00-0722,C02,C01,C06,,,,,,,,,,,,,
2360,000301-00-0001,C02,C09,C15,C12,C13,C16,C07,C11,,,,,,,,
2361,000901-00-0023,C02,C01,C06,C11,C15,,,,,,,,,,,
2362,000901-00-0061,C02,C13,C09,C16,C01,C12,C05,,,,,,,,,
2363,000901-00-0065,C02,C13,C09,C11,C05,C04,C01,,,,,,,,,
2364,000901-00-0089,C02,C03,C01,C09,,,,,,,,,,,,
2365,000901-00-0095,C02,C01,C05,C09,C11,C12,C15,,,,,,,,,
2366,000901-00-0112,C02,C06,,,,,,,,,,,,,,
2367,000901-00-0115,C02,C13,C01,C03,C09,C12,,,,,,,,,,
2368,000901-00-0149,C02,C13,C09,C12,C11,C04,C01,C06,,,,,,,,
2369,000901-00-0156,C02,C12,C01,C16,C13,C04,C05,C09,,,,,,,,
2370,000901-00-0170,C02,C09,C05,C13,C04,,,,,,,,,,,
2371,000901-00-0180,C02,C01,C06,C16,C12,C11,,,,,,,,,,
2372,000901-00-0182,C02,C01,C06,C09,C13,C14,C03,C04,C05,C12,C10,C08,C11,,,
2373,000901-00-0215,C02,C05,C01,C06,C12,C15,,,,,,,,,,
2374,000901-00-0227,C02,C06,C11,C12,,,,,,,,,,,,
2375,000901-00-0236,C02,C01,C06,C11,C09,,,,,,,,,,,
2376,000901-00-0305,C02,C01,C09,C11,,,,,,,,,,,,
2377,000901-00-0315,C02,C13,C06,C01,C11,C09,,,,,,,,,,
2378,000901-00-0317,C02,C01,C07,C12,C16,C05,C09,C13,C06,,,,,,,
2379,000901-00-0323,C02,C13,C07,C05,C16,C06,C12,,,,,,,,,
2380,000901-00-0346,C02,C06,C01,C12,C04,C09,,,,,,,,,,
2381,000901-00-0348,C02,C01,C09,C12,C15,,,,,,,,,,,
2382,000901-00-0434,C02,C11,C12,,,,,,,,,,,,,
2383,000901-00-0437,C02,C01,C09,C13,C06,C05,C12,C15,,,,,,,,
2384,000901-00-0451,C02,C03,C04,,,,,,,,,,,,,
2385,000901-00-0540,C02,C12,C05,C13,C09,C15,C01,C16,C06,,,,,,,
2386,000901-00-0572,C02,C06,C14,,,,,,,,,,,,,
2387,000901-00-0602,C02,C05,C08,C11,C12,C14,C15,,,,,,,,,
2388,000901-00-0604,C02,,,,,,,,,,,,,,,
2389,000901-00-0641,C02,C12,C16,C09,C01,C13,C05,C06,,,,,,,,
2390,000901-00-0659,C02,C01,C15,C09,C07,,,,,,,,,,,
2391,000901-00-0678,C02,C01,C06,,,,,,,,,,,,,
2392,000901-00-0698,C02,C01,C12,C11,,,,,,,,,,,,
2393,000901-00-0738,C02,C01,C12,C06,C03,C11,,,,,,,,,,
2394,000901-00-0786,C02,C01,C06,C11,C09,,,,,,,,,,,
2395,000901-00-0800,C02,C01,,,,,,,,,,,,,,
2396,000901-00-0807,C02,C01,C09,,,,,,,,,,,,,
2397,000901-00-0826,C02,C13,C12,C06,C09,C01,,,,,,,,,,
2398,000901-00-0832,C02,C09,C01,C13,C06,,,,,,,,,,,
2399,000901-00-0842,C02,C09,C01,C05,C12,C13,C15,,,,,,,,,
2400,000901-00-0847,C02,,,,,,,,,,,,,,,
2401,000901-00-0888,C02,C12,C06,,,,,,,,,,,,,
2402,000901-00-0911,C02,C13,C06,C12,C01,,,,,,,,,,,
2403,000901-00-0913,C02,C09,C11,,,,,,,,,,,,,
2404,000901-00-0916,C02,C09,C12,,,,,,,,,,,,,
2405,000901-00-0926,C02,C11,,,,,,,,,,,,,,
2406,000901-00-0928,C02,C11,,,,,,,,,,,,,,
2407,000901-00-0971,C02,C01,C06,C05,C09,C12,C13,C15,,,,,,,,
2408,000901-00-0973,C02,C01,C06,C09,C13,,,,,,,,,,,
2409,000901-00-1015,C02,C13,C01,C09,,,,,,,,,,,,
2410,000901-00-1040,C02,C01,C09,C12,C16,C03,C05,C13,C04,,,,,,,
2411,000901-00-1064,C02,C01,C06,C09,C05,,,,,,,,,,,
2412,000901-00-1072,C02,,,,,,,,,,,,,,,
2413,000901-00-1101,C02,C06,,,,,,,,,,,,,,
2414,000901-00-1112,C02,C01,,,,,,,,,,,,,,
2415,000901-00-1117,C02,C04,C12,,,,,,,,,,,,,
2416,000901-00-1154,C02,C11,C13,C01,C06,,,,,,,,,,,
2417,000901-00-1186,C02,C11,C08,C07,,,,,,,,,,,,
2418,000901-00-1209,C02,C13,C09,C16,C06,C05,,,,,,,,,,
2419,000901-00-1262,C02,C01,C15,C16,C13,C05,C07,C08,C09,C12,,,,,,
2420,000901-00-1263,C02,C01,C08,C16,C13,C05,C15,C09,C12,,,,,,,
2421,000901-00-1266,C02,C01,C16,C13,C05,C08,C15,C09,C11,C12,,,,,,
2422,000901-00-1269,C02,C06,C12,C09,C16,C05,C14,C01,C04,,,,,,,
2423,000901-00-1276,C02,C09,C13,C11,C05,C06,,,,,,,,,,
2424,000901-00-1295,C02,C09,C01,C11,C13,,,,,,,,,,,
2425,000901-00-1329,C02,C01,C16,C13,C05,C04,C09,,,,,,,,,
2426,000901-00-1349,C02,C01,C13,C09,C12,C04,C16,C05,,,,,,,,
2427,000901-00-1353,C02,C06,C16,C01,C12,C11,,,,,,,,,,
2428,000901-00-1357,C02,C13,C01,C12,C09,C16,,,,,,,,,,
2429,000901-00-1391,C02,C06,,,,,,,,,,,,,,
2430,000901-00-0001,C02,C09,C16,C01,C11,C12,,,,,,,,,,
2431,000901-00-0013,C02,C06,C11,C16,C09,C12,,,,,,,,,,
2432,000901-00-0034,C02,C13,C09,C12,C16,C06,,,,,,,,,,
2433,000503-00-0164,C01,C02,C14,,,,,,,,,,,,,
2434,000503-00-0193,C01,C02,C14,C11,,,,,,,,,,,,
2435,000503-00-0404,C01,C02,C11,C13,C03,C09,,,,,,,,,,
2436,000503-00-0434,C01,C02,,,,,,,,,,,,,,
2437,000503-00-0505,C01,C02,C11,C07,C06,C03,C13,C05,C04,C14,C08,C09,C12,C10,C15,C16
2438,000503-00-0542,C01,C02,C13,,,,,,,,,,,,,
2439,000503-00-0745,C01,C02,C06,C13,C11,,,,,,,,,,,
2440,000503-00-0850,C01,C02,C03,C12,,,,,,,,,,,,
2441,000503-00-1030,C01,C02,C09,C03,C15,C06,C05,,,,,,,,,
2442,000502-00-0895,C01,C02,C16,C12,C04,C05,C09,C13,,,,,,,,
2443,000502-00-0966,C01,C02,C10,C13,C11,,,,,,,,,,,
2444,000802-00-0175,C01,C02,C09,C13,,,,,,,,,,,,
2445,000802-00-0250,C01,C02,C12,C13,C09,C05,C06,,,,,,,,,
2446,000802-00-0312,C01,C02,C11,,,,,,,,,,,,,
2447,000802-00-0397,C01,C02,C09,C10,,,,,,,,,,,,
2448,000802-00-0517,C01,C02,C05,C09,C12,C15,,,,,,,,,,
2449,000802-00-0746,C01,C02,C13,C11,C09,C03,,,,,,,,,,
2450,000703-00-0044,C01,C02,C05,C09,C12,C13,,,,,,,,,,
2451,000302-00-0202,C01,C02,C03,,,,,,,,,,,,,
2452,000302-00-0643,C01,C02,C11,C15,,,,,,,,,,,,
2453,001003-00-0182,C01,C02,,,,,,,,,,,,,,
2454,001003-00-0461,C01,C02,C05,C06,C13,C09,C07,C12,C16,C03,,,,,,
2455,001001-00-0212,C01,C02,C13,C11,C09,C12,,,,,,,,,,
2456,001001-00-0257,C01,C02,C10,C13,,,,,,,,,,,,
2457,001001-00-0365,C01,C02,C15,C06,,,,,,,,,,,,
2458,001001-00-1015,C01,C02,C12,C11,C15,C09,C06,C05,,,,,,,,
2459,000903-00-0532,C01,C02,C05,,,,,,,,,,,,,
2460,000903-00-0630,C01,C02,C12,C07,C06,C08,C05,C16,C09,,,,,,,
2461,000303-00-0032,C01,C02,C06,C13,C03,C05,C09,C15,C12,C14,C10,,,,,
2462,000303-00-0408,C01,C02,,,,,,,,,,,,,,
2463,000902-00-0079,C01,C02,C09,C06,,,,,,,,,,,,
2464,000902-00-0369,C01,C02,C11,C06,C03,C13,C08,C09,C12,C15,C16,C10,C07,,,
2465,000902-00-0938,C01,C02,C09,C11,,,,,,,,,,,,
2466,000801-00-0396,C01,C02,C09,C07,C05,C16,C13,C12,,,,,,,,
2467,000501-00-0657,C01,C02,C12,,,,,,,,,,,,,
2468,000501-00-0813,C01,C02,C13,C15,C12,C11,C03,C16,C04,C06,C09,C05,C07,C08,C10,C14
2469,001103-00-0382,C01,C02,C13,C16,C12,C04,,,,,,,,,,
2470,001103-00-0744,C01,C02,C03,C05,C13,C10,C16,,,,,,,,,
2471,001103-00-0931,C01,C02,C03,C05,,,,,,,,,,,,
2472,001103-00-1227,C01,C02,C06,C12,C13,C15,,,,,,,,,,
2473,001103-00-1626,C01,C02,C05,C11,C13,,,,,,,,,,,
2474,000402-00-0336,C01,C02,C10,C11,C13,C03,C04,,,,,,,,,
2475,000401-00-0641,C01,C02,C12,C11,C13,C06,C10,C03,,,,,,,,
2476,000401-00-0896,C01,C02,C13,C11,C07,C16,,,,,,,,,,
2477,000102-00-0941,C01,C02,C03,C05,C06,C09,C11,C13,,,,,,,,
2478,000702-00-0026,C01,C02,C09,C06,C13,,,,,,,,,,,
2479,000702-00-0124,C01,C02,C13,,,,,,,,,,,,,
2480,000702-00-0280,C01,C02,C05,C09,C12,C15,,,,,,,,,,
2481,000603-00-0683,C01,C02,C04,C06,C05,C03,C07,C09,C08,C10,C11,C12,C13,C14,C15,C16
2482,001102-00-1051,C01,C02,C05,C09,C12,C15,C13,C08,,,,,,,,
2483,001102-00-1315,C01,C02,C13,C04,C16,C09,,,,,,,,,,
2484,000202-00-0010,C01,C02,C05,C03,C04,C09,C12,C13,C14,C11,,,,,,
2485,000701-00-0476,C01,C02,C04,C14,,,,,,,,,,,,
2486,000701-00-0746,C01,C02,C09,,,,,,,,,,,,,
2487,000701-00-0953,C01,C02,C04,C07,C09,C12,C13,C14,C15,C16,C08,C06,C03,C11,C05,C10
2488,001002-00-0162,C01,C02,C11,C03,C06,,,,,,,,,,,
2489,001002-00-0896,C01,C02,C11,C03,C05,C06,C09,C13,C14,C15,,,,,,
2490,001002-00-1188,C01,C02,C09,C06,C03,C11,,,,,,,,,,
2491,001002-00-1310,C01,C02,C09,C06,,,,,,,,,,,,
2492,000602-00-0697,C01,C02,C09,C05,C13,C16,C10,C07,C08,,,,,,,
2493,000901-00-0298,C01,C02,C04,C13,C12,,,,,,,,,,,
2494,000901-00-0363,C01,C02,C13,C06,C11,C09,C10,,,,,,,,,
2495,000901-00-0496,C01,C02,C09,C12,,,,,,,,,,,,
2496,000901-00-0797,C01,C02,C13,C11,C12,C08,,,,,,,,,,
2497,000901-00-0875,C01,C02,C15,C05,C09,C12,C03,C06,C11,C13,C14,,,,,
2498,000901-00-1082,C01,C02,C12,C06,C11,,,,,,,,,,,
2499,000901-00-1135,C01,C02,C13,C06,,,,,,,,,,,,
2500,000901-00-1304,C01,C02,C15,C05,C09,C12,,,,,,,,,,
2501,000503-00-0068,C01,C02,C16,C10,,,,,,,,,,,,
2502,000503-00-0200,C01,C02,C05,C09,C13,,,,,,,,,,,
2503,000503-00-0378,C01,C02,C13,C11,C16,,,,,,,,,,,
2504,001002-00-0008,WI0,C02,C09,C05,C04,C07,C12,,,,,,,,,
2505,000203-00-0040,C10,C02,C01,C13,C05,C06,C07,C08,C09,C04,C11,C15,C16,C03,C14,C12
2506,000502-00-0634,C10,C01,C02,C05,C11,C15,,,,,,,,,,
2507,000902-00-0817,C10,C02,C06,,,,,,,,,,,,,
2508,000902-00-0819,C10,C02,C06,C03,,,,,,,,,,,,
2509,000401-00-0558,C10,C02,C01,,,,,,,,,,,,,
2510,000401-00-0924,C10,C02,C01,C03,C07,C16,C05,C15,C04,C13,C06,C14,C11,C08,C12,C09
2511,001001-00-1215,C08,C02,,,,,,,,,,,,,,
2512,000903-00-0202,C08,C02,C06,C12,C01,C09,C16,C13,,,,,,,,
2513,000902-00-1347,C08,C02,C01,C13,C15,C14,C05,C06,C09,,,,,,,
2514,001101-00-0431,C08,C02,C07,C05,C15,C09,,,,,,,,,,
2515,001102-00-0557,C08,C02,C01,C15,overvote,C13,C12,C10,C09,,,,,,,
2516,001002-00-0690,C08,C02,C12,C03,C16,C05,C13,C01,,,,,,,,
2517,000503-00-0287,C04,C02,C01,C15,C13,C11,C09,C06,C05,C07,C08,C10,C12,C14,C16,C03
2518,000302-00-0110,C04,C02,C13,,,,,,,,,,,,,
2519,001001-00-1004,C04,C02,C01,,,,,,,,,,,,,
2520,001001-00-1159,C04,C02,C03,,,,,,,,,,,,,
2521,000201-00-0053,C04,C15,C02,C05,C10,C09,C07,C06,C01,,,,,,,
2522,000601-00-0129,C04,C02,,,,,,,,,,,,,,
2523,000601-00-0805,C04,C02,C13,C11,,,,,,,,,,,,
2524,000801-00-0271,C04,C02,C03,C05,C09,C11,C13,C01,,,,,,,,
2525,000501-00-0232,C04,C01,C02,C11,,,,,,,,,,,,
2526,000501-00-0386,C04,C01,C02,C11,,,,,,,,,,,,
2527,000501-00-0675,C04,C02,C14,,,,,,,,,,,,,
2528,000402-00-0605,C04,C01,C02,C05,C09,C12,C15,C11,,,,,,,,
2529,000401-00-0349,C04,C02,C12,C01,,,,,,,,,,,,
2530,000102-00-0902,C04,C02,C01,C13,C11,C12,C15,C16,C07,,,,,,,
2531,000403-00-0104,C04,C01,C02,C14,C13,C05,C09,,,,,,,,,
2532,000103-00-0379,C04,C01,C02,C11,C15,C05,C06,C13,C12,,,,,,,
2533,000103-00-0731,C04,C15,C01,C02,C13,C05,C06,C14,,,,,,,,
2534,000103-00-0874,C04,C01,C02,C15,C14,C05,C13,C03,C12,C09,C11,C06,,,,
2535,001102-00-0491,C04,C02,C10,C12,C05,C06,,,,,,,,,,
2536,001002-00-0952,C04,C02,C13,C06,C05,C09,C01,C11,C16,,,,,,,
2537,001002-00-1167,C04,C02,C13,C09,C05,C11,C01,C16,,,,,,,,
2538,001002-00-1334,C04,C02,C12,C09,C07,C05,C06,C08,C10,C13,C15,C16,C01,C11,C14,C03
2539,000901-00-0703,C04,C01,C02,C06,C05,C14,C09,,,,,,,,,
2540,000901-00-1343,C04,C02,C13,C09,C01,C12,C06,,,,,,,,,
2541,000503-00-0207,C07,C01,C02,C11,C10,C04,C13,,,,,,,,,
2542,001001-00-1033,C07,C15,C01,C02,C03,C05,C06,C08,C11,C09,C13,,,,,
2543,001001-00-1102,C07,C15,C02,,,,,,,,,,,,,
2544,000903-00-0796,C07,C02,C14,,,,,,,,,,,,,
2545,000903-00-1174,C07,C02,C03,C13,C01,C11,,,,,,,,,,
2546,000601-00-0095,C07,C15,C02,C14,C06,C09,C01,C13,C05,,,,,,,
2547,000902-00-1304,C07,C02,C04,C14,C16,,,,,,,,,,,
2548,000501-00-0277,C07,C02,C13,,,,,,,,,,,,,
2549,000501-00-0676,C07,C02,C16,C01,C14,C15,C06,C09,C04,C13,C03,,,,,
2550,000401-00-0601,C07,C01,C02,C13,C15,C05,C09,C11,,,,,,,,
2551,000401-00-0757,C07,C02,C11,C13,C03,C06,C08,C09,C10,C12,C14,C15,C16,C01,C04,
2552,000401-00-0766,C07,C02,C15,,,,,,,,,,,,,
2553,000401-00-0977,C07,C02,C03,,,,,,,,,,,,,
2554,000403-00-0073,C07,C02,C13,,,,,,,,,,,,,
2555,000403-00-0216,C07,C01,C02,C13,C03,C04,C11,C14,C05,C06,,,,,,
2556,000103-00-0004,overvote,C07,C01,C02,C03,C04,C05,C06,C14,C08,C09,C11,C10,C16,C12,
2557,000701-00-0879,C07,C06,C02,C14,C11,C10,,,,,,,,,,
2558,000602-00-0630,C07,C02,C12,C01,C13,,,,,,,,,,,
2559,000301-00-0022,C07,C02,C15,C13,,,,,,,,,,,,
2560,000602-00-0619,C08,C07,C01,C02,C13,C15,C03,C10,C14,,,,,,,
2561,000401-00-0867,C04,C07,C02,C05,C16,C15,C13,C01,C12,,,,,,,
2562,000503-00-0512,C03,C15,C06,C02,C01,C12,,,,,,,,,,
2563,000503-00-0522,C03,C02,C05,C01,C09,C13,C11,C14,C15,,,,,,,
2564,000503-00-0731,C03,C02,C13,C11,C14,C15,C16,C01,C04,C05,C06,C07,C08,C09,C10,
2565,000503-00-0877,C03,C02,C14,C15,C09,,,,,,,,,,,
2566,000203-00-0020,C03,C10,C02,C01,,,,,,,,,,,,
2567,000802-00-0669,C03,C01,C02,C05,C06,C11,C13,C15,C14,C07,C04,C08,C09,C10,C16,C12
2568,000101-00-0436,C03,C02,C15,C01,C05,C06,C09,C13,C08,C07,C04,C12,C14,,,
2569,000703-00-0099,C03,C10,C01,C15,C02,,,,,,,,,,,
2570,000302-00-0196,C03,C15,C02,C01,,,,,,,,,,,,
2571,000302-00-0649,C03,C02,C01,C13,C05,C06,C15,C09,C10,C11,,,,,,
2572,001003-00-0697,C03,C01,C02,C06,C11,,,,,,,,,,,
2573,001003-00-0748,C03,C02,C11,C15,C12,C05,,,,,,,,,,
2574,001001-00-0165,C03,C15,C02,C06,C10,C11,C14,C01,C12,C09,C05,,,,,
2575,001001-00-0311,C03,C02,C01,C09,C08,,,,,,,,,,,
2576,001001-00-0333,C03,C15,C06,C02,,,,,,,,,,,,
2577,001001-00-0581,C03,C02,C10,,,,,,,,,,,,,
2578,001001-00-0587,C03,C02,C09,C14,,,,,,,,,,,,
2579,001001-00-0820,C03,C06,C15,C02,C09,C05,,,,,,,,,,
2580,001001-00-0933,C03,C02,,,,,,,,,,,,,,
2581,000903-00-0073,C03,C02,C06,C01,,,,,,,,,,,,
2582,000903-00-0171,C03,C01,C02,,,,,,,,,,,,,
2583,000903-00-0486,C03,C02,C15,C09,C06,C05,C01,C13,C11,C14,C07,C04,C16,C12,C10,
2584,000903-00-0500,C03,C02,C01,C06,C15,,,,,,,,,,,
2585,000903-00-0561,C03,C06,C07,C02,,,,,,,,,,,,
2586,000903-00-0717,C03,C15,C02,,,,,,,,,,,,,
2587,000201-00-0396,C03,C02,C13,C15,C11,,,,,,,,,,,
2588,000601-00-0229,C03,C02,C15,C12,,,,,,,,,,,,
2589,000902-00-0363,C03,C02,C15,,,,,,,,,,,,,
2590,000902-00-0717,C03,C15,C02,,,,,,,,,,,,,
2591,000902-00-0721,C03,C02,C01,C06,C05,C09,C13,C14,C15,C04,C07,C08,C10,C11,C12,C16
2592,000902-00-0836,C03,C06,C15,C02,,,,,,,,,,,,
2593,000902-00-0852,C03,C02,C15,,,,,,,,,,,,,
2594,000902-00-0854,C03,C02,C11,C09,C06,C01,C15,C14,C13,,,,,,,
2595,000902-00-1017,C03,C02,C01,C06,C11,C12,C09,,,,,,,,,
2596,000902-00-1337,C03,C02,C12,C13,C15,C01,,,,,,,,,,
2597,000801-00-0048,C03,C02,C09,C01,,,,,,,,,,,,
2598,000801-00-0209,C03,C02,C09,,,,,,,,,,,,,
2599,000501-00-0151,C03,C02,C01,C13,C14,,,,,,,,,,,
2600,001103-00-0514,C03,C15,C01,C02,,,,,,,,,,,,
2601,001103-00-0540,C03,C02,C01,C05,C06,C08,C15,,,,,,,,,
2602,001103-00-0558,C03,C02,C11,C05,C06,C09,C12,C13,C15,,,,,,,
2603,001103-00-0793,C03,C02,C01,C15,C13,C09,,,,,,,,,,
2604,001103-00-0907,C03,C06,C02,C11,C05,C09,C15,C01,,,,,,,,
2605,001103-00-1185,C03,C15,C02,,,,,,,,,,,,,
2606,001103-00-1193,C03,C06,C01,C02,C11,,,,,,,,,,,
2607,001103-00-1294,C03,C02,C01,C15,C13,C11,C10,C05,C09,C12,C14,C16,C04,C06,C07,C08
2608,001101-00-0272,C03,C06,C02,C15,C13,,,,,,,,,,,
2609,001101-00-0426,C03,C02,C14,C01,C04,,,,,,,,,,,
2610,000402-00-0294,C03,C02,C15,C13,,,,,,,,,,,,
2611,000401-00-0002,C03,C02,C12,C09,C06,C04,,,,,,,,,,
2612,000401-00-0895,C03,C02,C16,C01,C13,,,,,,,,,,,
2613,000702-00-0009,C03,C04,C02,C07,C01,C08,C09,C10,C11,C12,C13,C14,C15,C16,C06,C05
2614,000603-00-0099,C03,C15,C01,C02,C05,C06,,,,,,,,,,
2615,000603-00-0317,C03,C15,C06,C01,C02,C16,C14,C12,C10,C04,C05,C07,C08,C09,C13,
2616,000603-00-0551,C03,C02,C15,C11,,,,,,,,,,,,
2617,000603-00-0560,C03,C02,C15,,,,,,,,,,,,,
2618,000603-00-0655,C03,C02,C15,C06,C04,C08,C07,C10,,,,,,,,
2619,000603-00-0692,C03,C15,C11,C02,,,,,,,,,,,,
2620,000603-00-0832,C03,C02,C09,C12,,,,,,,,,,,,
2621,001102-00-0718,C03,C02,C15,C13,,,,,,,,,,,,
2622,001102-00-1343,C03,C02,C06,C15,C01,,,,,,,,,,,
2623,001102-00-1427,C03,C06,C10,C02,C01,C12,,,,,,,,,,
2624,000701-00-0411,C03,C11,C02,,,,,,,,,,,,,
2625,000701-00-0524,C03,C11,C01,C02,C09,,,,,,,,,,,
2626,000701-00-0567,C03,C02,C15,C09,C06,,,,,,,,,,,
2627,000701-00-0860,C03,C02,,,,,,,,,,,,,,
2628,000701-00-0936,C03,C02,C01,C11,C09,C13,C14,,,,,,,,,
2629,001002-00-0492,C03,C15,C02,C06,C14,C09,C12,C01,C11,,,,,,,
2630,001002-00-0636,C03,C04,C06,C15,C02,C16,C07,,,,,,,,,
2631,001002-00-0909,C03,C02,C01,C15,C05,C06,C09,C11,C13,C12,,,,,,
2632,001002-00-1229,C03,C02,C01,,,,,,,,,,,,,
2633,000602-00-0447,C03,C06,C07,C02,,,,,,,,,,,,
2634,000901-00-0524,C03,C06,C02,C08,C15,C01,C11,,,,,,,,,
2635,000901-00-1241,C03,C02,C05,C06,C01,C09,C07,C10,C12,C13,C14,C15,C16,C08,C11,
2636,000901-00-1326,C03,C02,C01,C05,C13,C12,C15,C06,C11,,,,,,,
2637,000401-00-0606,C01,C03,C02,C09,,,,,,,,,,,,
2638,000901-00-0639,C01,C03,C15,C11,C02,C16,,,,,,,,,,
2639,000503-00-0262,C01,C03,C02,C13,,,,,,,,,,,,
2640,001102-00-1231,C08,C03,C02,,,,,,,,,,,,,
2641,001001-00-0952,C04,C03,C15,C07,C02,C09,,,,,,,,,,
2642,000402-00-0430,C04,C03,C02,C01,C09,C06,C07,C08,C15,,,,,,,
2643,000602-00-0694,C04,C01,C03,C02,C13,C15,C09,,,,,,,,,
2644,000503-00-0028,C16,C01,C02,C04,C09,C06,C13,C12,C10,,,,,,,
2645,000503-00-0162,C16,C02,C13,,,,,,,,,,,,,
2646,000503-00-0186,C16,C01,C02,,,,,,,,,,,,,
2647,000503-00-0209,C16,C01,C02,C13,,,,,,,,,,,,
2648,000503-00-0265,C16,C01,C02,C13,C07,C12,,,,,,,,,,
2649,000503-00-0297,C16,C01,C02,C12,C13,,,,,,,,,,,
2650,000503-00-0569,C16,C11,C02,,,,,,,,,,,,,
2651,000503-00-0650,C16,C02,C13,,,,,,,,,,,,,
2652,000503-00-0688,C16,C01,C02,C07,C11,C13,,,,,,,,,,
2653,000503-00-0764,C16,C02,C01,C09,C13,C11,,,,,,,,,,
2654,000503-00-0788,C16,C02,C01,C09,C13,C11,,,,,,,,,,
2655,000503-00-0870,C16,C02,C01,C13,C09,C06,C12,C10,C07,C04,C08,C11,C05,C03,C15,C14
2656,000503-00-1056,C16,C02,C13,C11,,,,,,,,,,,,
2657,000503-00-1103,C16,C11,C07,C01,C02,C13,C03,C14,C15,,,,,,,
2658,000502-00-0037,C16,C02,C01,C09,C12,C13,C05,C03,C06,,,,,,,
2659,000502-00-0172,C16,C02,C01,C13,C12,C11,C07,C06,C04,,,,,,,
2660,000502-00-0178,C16,C02,C01,C13,C12,C09,C06,C15,C07,,,,,,,
2661,000502-00-0227,C16,C02,C03,,,,,,,,,,,,,
2662,000502-00-0232,C16,C02,C05,C08,C13,C15,C09,C06,C04,C01,C03,C07,C10,C11,C12,C14
2663,000502-00-0378,C16,C02,C11,C09,C12,,,,,,,,,,,
2664,000502-00-0412,C16,C02,C07,C11,C15,,,,,,,,,,,
2665,000502-00-0598,C16,C02,C01,C13,,,,,,,,,,,,
2666,000502-00-0957,C16,C02,C11,C13,C01,C12,,,,,,,,,,
2667,000502-00-0982,C16,C02,C11,C13,C03,C06,C01,C14,C15,C09,C05,C04,C10,C12,C07,C08
2668,000502-00-1061,C16,C02,C05,C10,,,,,,,,,,,,
2669,000802-00-0701,C16,C06,C01,C02,C05,C13,C09,C11,C12,,,,,,,
2670,000802-00-0822,C16,C01,C02,C03,C12,C13,C14,C15,C11,C10,C07,C08,,,,
2671,000302-00-0016,C16,C02,C13,C05,C04,C12,C09,C01,C11,,,,,,,
2672,000302-00-0120,C16,C01,C02,C04,C05,C07,C09,C12,C13,,,,,,,
2673,000302-00-0214,C16,C02,C13,C05,C04,C12,C09,C01,,,,,,,,
2674,000302-00-0666,C16,C07,C03,C02,C01,C13,C10,C08,C04,C06,,,,,,
2675,001003-00-0418,C16,C11,C02,C10,C15,C01,C07,,,,,,,,,
2676,001001-00-0389,C16,C01,C02,C08,,,,,,,,,,,,
2677,001001-00-0409,C16,C01,C02,C05,,,,,,,,,,,,
2678,000903-00-0172,C16,C02,C01,C11,,,,,,,,,,,,
2679,000903-00-1020,C16,C03,C06,C02,C15,,,,,,,,,,,
2680,000903-00-1052,C16,C02,C01,C14,C09,,,,,,,,,,,
2681,000303-00-0056,C16,C02,C09,C13,C11,C01,,,,,,,,,,
2682,000303-00-0250,C16,C02,C13,C01,,,,,,,,,,,,
2683,000303-00-0284,C16,C02,C07,C14,C13,C11,C10,,,,,,,,,
2684,000201-00-0042,C16,C02,C13,,,,,,,,,,,,,
