,Unnamed: 0,Unnamed: 1,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
5802,000402-00-0815,10017,C10,C21,C14,C15,,,,,,,,,,,,,,,,,,,,,,,
5803,000402-00-0817,10019,C14,C02,C04,C08,C22,,,,,,,,,,,,,,,,,,,,,,
5804,000402-00-0819,10022,C21,C03,C06,C15,C05,C01,C04,C22,C10,C14,C02,,,,,,,,,,,,,,,,
5805,000402-00-0821,10021,C19,C15,C03,,,,,,,,,,,,,,,,,,,,,,,,
5806,000402-00-0823,10000,C15,C11,C21,C03,C05,C08,,,,,,,,,,,,,,,,,,,,,
5807,000402-00-0825,10002,C21,C18,C03,,,,,,,,,,,,,,,,,,,,,,,,
5808,000402-00-0826,10004,C21,C10,,,,,,,,,,,,,,,,,,,,,,,,,
5809,000402-00-0828,10005,C08,C02,C14,C04,C10,,,,,,,,,,,,,,,,,,,,,,
5810,000402-00-0832,10007,C03,C15,C12,C19,C01,C20,C10,,,,,,,,,,,,,,,,,,,,
5811,000402-00-0834,10008,C03,C15,C12,C19,C01,C20,C10,,,,,,,,,,,,,,,,,,,,
5812,000402-00-0835,10010,C03,C06,C14,,,,,,,,,,,,,,,,,,,,,,,,
5813,000402-00-0837,10011,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
5814,000402-00-0838,10012,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
5815,000402-00-0840,10006,C14,C04,C06,C03,C02,C19,C22,C21,C11,,,,,,,,,,,,,,,,,,
5816,000402-00-0841,10015,C19,C20,C21,C05,C11,C12,C14,C15,C13,,,,,,,,,,,,,,,,,,
5817,000402-00-0842,10014,C15,C19,C03,C12,C20,C02,,,,,,,,,,,,,,,,,,,,,
5818,000402-00-0845,10016,C10,C19,C15,C14,C04,C16,C21,C03,C02,,,,,,,,,,,,,,,,,,
5819,000402-00-0846,10017,C20,C12,C10,,,,,,,,,,,,,,,,,,,,,,,,
5820,000402-00-0848,10013,C15,C06,C01,C14,C16,C19,C20,C21,C03,C02,,,,,,,,,,,,,,,,,
5821,000402-00-0849,10019,C21,C14,,,,,,,,,,,,,,,,,,,,,,,,,
5822,000402-00-0852,10020,C08,C21,C02,C06,C22,C14,C03,,,,,,,,,,,,,,,,,,,,
5823,000402-00-0854,10000,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
5824,000402-00-0856,10022,C19,C12,C21,C14,C15,C03,,,,,,,,,,,,,,,,,,,,,
5825,000402-00-0859,10021,C06,C03,C19,C14,C10,C21,C20,C01,C15,,,,,,,,,,,,,,,,,,
5826,000402-00-0861,10001,C21,C08,C06,C14,C02,C04,C22,C18,C13,C11,C01,,,,,,,,,,,,,,,,
5827,000402-00-0863,10002,C15,C03,C10,C19,C21,C12,C01,C02,C20,,,,,,,,,,,,,,,,,,
5828,000402-00-0864,10003,C15,C03,C21,C10,C19,C01,C12,C20,,,,,,,,,,,,,,,,,,,
5829,000402-00-0866,10005,C10,C03,C06,,,,,,,,,,,,,,,,,,,,,,,,
5830,000402-00-0868,10009,C01,C15,C12,C19,C20,C10,,,,,,,,,,,,,,,,,,,,,
5831,000402-00-0870,10011,C01,C15,C19,C12,C10,,,,,,,,,,,,,,,,,,,,,,
5832,000402-00-0872,10004,C14,C02,C04,C08,C22,C11,C15,,,,,,,,,,,,,,,,,,,,
5833,000402-00-0874,10010,C04,C01,C21,C15,C14,C10,C02,C03,C05,,,,,,,,,,,,,,,,,,
5834,000402-00-0877,10012,C15,C19,C12,C10,C03,C01,C16,C02,,,,,,,,,,,,,,,,,,,
5835,000402-00-0879,10013,C14,C02,C21,C11,C22,C23,,,,,,,,,,,,,,,,,,,,,
5836,000402-00-0881,10007,C21,C06,C14,C22,C02,C09,C18,C03,,,,,,,,,,,,,,,,,,,
5837,000402-00-0883,10000,C14,C06,C21,C22,,,,,,,,,,,,,,,,,,,,,,,
5838,000402-00-0885,10016,C01,C04,C10,,,,,,,,,,,,,,,,,,,,,,,,
5839,000402-00-0887,10015,C15,C14,C19,C21,C01,C02,C03,C12,C10,C08,,,,,,,,,,,,,,,,,
5840,000402-00-0890,10014,C12,C01,C19,C10,C15,,,,,,,,,,,,,,,,,,,,,,
5841,000402-00-0891,10006,C01,C06,C14,C11,C21,C16,C22,C03,,,,,,,,,,,,,,,,,,,
5842,000402-00-0893,10001,C01,C14,,,,,,,,,,,,,,,,,,,,,,,,,
5843,000402-00-0894,10003,C05,C04,C07,C11,C09,C06,C08,,,,,,,,,,,,,,,,,,,,
5844,000402-00-0895,10004,C03,C07,C06,,,,,,,,,,,,,,,,,,,,,,,,
5845,000402-00-0897,10006,C06,C01,C14,C03,C22,C15,C12,C19,,,,,,,,,,,,,,,,,,,
5846,000402-00-0898,10002,C13,C03,C10,C14,C19,C20,C01,C02,C12,C15,,,,,,,,,,,,,,,,,
5847,000402-00-0901,10005,C14,C21,C01,C22,C03,C08,,,,,,,,,,,,,,,,,,,,,
5848,000402-00-0903,10007,C03,C15,C12,C19,C01,C10,C20,C06,C17,,,,,,,,,,,,,,,,,,
5849,000402-00-0905,10008,C15,C16,C14,C01,,,,,,,,,,,,,,,,,,,,,,,
5850,000402-00-0907,10011,C03,C06,C22,C12,C01,C19,,,,,,,,,,,,,,,,,,,,,
5851,000402-00-0908,10010,C15,C04,C12,,,,,,,,,,,,,,,,,,,,,,,,
5852,000402-00-0910,10012,C12,C18,C15,C20,C14,,,,,,,,,,,,,,,,,,,,,,
5853,000402-00-0912,10014,C04,,,,,,,,,,,,,,,,,,,,,,,,,,
5854,000402-00-0914,10009,C15,C03,C20,C12,C19,C01,C10,,,,,,,,,,,,,,,,,,,,
5855,000402-00-0917,10013,C11,C12,C13,C09,C08,C07,C22,C21,C20,C19,C18,C17,C04,C05,C06,C03,C02,C01,C23,C10,C16,C15,C14,,,,
5856,000402-00-0918,10020,C14,C03,C15,C19,C21,,,,,,,,,,,,,,,,,,,,,,
5857,000402-00-0920,10016,C14,C06,C22,C12,C19,,,,,,,,,,,,,,,,,,,,,,
5858,000402-00-0922,10019,C15,C03,C19,C12,,,,,,,,,,,,,,,,,,,,,,,
5859,000402-00-0924,10017,C22,C06,C08,C01,C15,C11,C14,,,,,,,,,,,,,,,,,,,,
5860,000402-00-0927,10000,C14,C02,C15,,,,,,,,,,,,,,,,,,,,,,,,
5861,000402-00-0929,10022,C22,C14,C06,,,,,,,,,,,,,,,,,,,,,,,,
5862,000402-00-0930,10004,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
5863,000402-00-0932,10015,C03,C14,C15,C12,C19,C20,C01,C10,,,,,,,,,,,,,,,,,,,
5864,000402-00-0935,10005,C15,C14,C06,,,,,,,,,,,,,,,,,,,,,,,,
5865,000402-00-0936,10003,C14,C19,C03,C08,C01,,,,,,,,,,,,,,,,,,,,,,
5866,000402-00-0938,10021,C03,C19,C15,C10,C21,C20,C06,C04,,,,,,,,,,,,,,,,,,,
5867,000402-00-0941,10001,C21,C06,C14,C22,C02,,,,,,,,,,,,,,,,,,,,,,
5868,000402-00-0943,10000,C19,C03,C10,,,,,,,,,,,,,,,,,,,,,,,,
5869,000402-00-0945,10007,C03,C14,C15,C19,C12,C10,C01,C05,C02,,,,,,,,,,,,,,,,,,
5870,000402-00-0946,10002,C14,C03,C15,C19,C06,C21,C05,C04,,,,,,,,,,,,,,,,,,,
5871,000402-00-0948,10011,C14,,,,,,,,,,,,,,,,,,,,,,,,,,
5872,000402-00-0950,10009,C02,C06,C19,C14,C15,,,,,,,,,,,,,,,,,,,,,,
5873,000402-00-0951,10006,C14,C06,C22,C10,C11,C03,C19,C12,C20,C21,,,,,,,,,,,,,,,,,
5874,000402-00-0953,10013,C22,C03,C14,,,,,,,,,,,,,,,,,,,,,,,,
5875,000402-00-0956,10015,C12,C19,C08,,,,,,,,,,,,,,,,,,,,,,,,
5876,000402-00-0957,10008,C02,C04,C08,,,,,,,,,,,,,,,,,,,,,,,,
5877,000402-00-0959,10014,C03,C15,C12,C19,C01,C10,C20,C06,,,,,,,,,,,,,,,,,,,
5878,000402-00-0960,10018,C10,C11,C21,,,,,,,,,,,,,,,,,,,,,,,,
5879,000402-00-0962,10019,C15,C01,C03,C19,C14,,,,,,,,,,,,,,,,,,,,,,
5880,000402-00-0965,10016,C06,C14,C03,C19,C05,,,,,,,,,,,,,,,,,,,,,,
5881,000402-00-0967,10017,C10,C12,C15,C21,C08,C20,C19,,,,,,,,,,,,,,,,,,,,
5882,000402-00-0968,10022,C03,C10,C20,,,,,,,,,,,,,,,,,,,,,,,,
5883,000402-00-0970,10012,C19,C15,C14,C13,C20,C01,C02,C03,C10,C16,C17,C18,C21,C22,C23,C04,C05,C06,C07,C08,C09,C11,C12,,,,
5884,000402-00-0973,10000,C15,C19,C01,C23,,,,,,,,,,,,,,,,,,,,,,,
5885,000402-00-0974,10001,C14,C01,C15,C12,C20,,,,,,,,,,,,,,,,,,,,,,
5886,000402-00-0976,10004,C06,C21,C19,C14,C05,C01,,,,,,,,,,,,,,,,,,,,,
5887,000402-00-0978,10003,C14,C22,C06,C10,C05,C21,C03,C08,,,,,,,,,,,,,,,,,,,
5888,000402-00-0980,10010,C21,C03,C19,C10,C15,C11,C01,C02,C14,C12,C20,C06,C07,C09,C18,,,,,,,,,,,,
5889,000402-00-0982,10005,C19,C15,C12,C06,C03,C10,,,,,,,,,,,,,,,,,,,,,
5890,000402-00-0984,10002,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
5891,000402-00-0987,10006,C21,C04,C10,C14,C08,,,,,,,,,,,,,,,,,,,,,,
5892,000402-00-0988,10021,C22,C06,C14,,,,,,,,,,,,,,,,,,,,,,,,
5893,000402-00-0990,10020,C02,C14,C08,C04,C12,C01,C03,C19,C15,C21,C20,C10,C06,,,,,,,,,,,,,,
5894,000402-00-0993,10007,C15,C21,C06,,,,,,,,,,,,,,,,,,,,,,,,
5895,000402-00-0994,10008,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
5896,000402-00-0996,10009,C12,C15,C01,,,,,,,,,,,,,,,,,,,,,,,,
5897,000402-00-0998,10010,C12,C15,C01,C03,C19,,,,,,,,,,,,,,,,,,,,,,
5898,000402-00-1000,10011,C15,C14,C04,C02,C03,C06,C20,C10,,,,,,,,,,,,,,,,,,,
5899,000402-00-1002,10014,C10,C14,C03,C04,,,,,,,,,,,,,,,,,,,,,,,
5900,000402-00-1004,10015,C03,C19,C14,C06,,,,,,,,,,,,,,,,,,,,,,,
5901,000402-00-1005,10016,C21,C01,C03,C12,C10,C14,C15,C20,C19,C06,C07,C18,,,,,,,,,,,,,,,
5902,000402-00-1007,10019,C14,,,,,,,,,,,,,,,,,,,,,,,,,,
5903,000402-00-1010,10021,C12,C08,,,,,,,,,,,,,,,,,,,,,,,,,
5904,000402-00-1011,10018,C03,,,,,,,,,,,,,,,,,,,,,,,,,,
5905,000402-00-1012,10012,C21,C05,C09,C11,C14,C01,C06,C22,C08,,,,,,,,,,,,,,,,,,
5906,000402-00-1014,10000,C12,C10,C20,C03,C15,C01,C14,C02,C19,,,,,,,,,,,,,,,,,,
5907,000402-00-1016,10020,C21,C11,C04,C14,C15,C19,,,,,,,,,,,,,,,,,,,,,
5908,000402-00-1019,10013,C21,C03,C14,C11,,,,,,,,,,,,,,,,,,,,,,,
5909,000402-00-1021,10022,C04,C02,C08,C14,C22,,,,,,,,,,,,,,,,,,,,,,
5910,000402-00-1022,10002,C10,C03,,,,,,,,,,,,,,,,,,,,,,,,,
5911,000402-00-1025,10003,C21,C06,C14,C18,C22,C03,,,,,,,,,,,,,,,,,,,,,
5912,000402-00-1027,10001,C14,C15,C22,C06,C20,C21,C01,C08,C04,,,,,,,,,,,,,,,,,,
5913,000402-00-1029,10005,C21,C14,,,,,,,,,,,,,,,,,,,,,,,,,
5914,000402-00-1031,10006,C17,C21,C03,C12,C14,,,,,,,,,,,,,,,,,,,,,,
5915,000402-00-1033,10004,C14,C06,C19,C04,C22,C03,C12,C21,C15,,,,,,,,,,,,,,,,,,
5916,000402-00-1034,10008,C15,C20,C16,C21,,,,,,,,,,,,,,,,,,,,,,,
5917,000402-00-1036,10007,C14,C11,C07,C21,C08,C09,C05,C06,C04,,,,,,,,,,,,,,,,,,
5918,000402-00-1038,10012,C15,C19,C20,C03,C10,C12,,,,,,,,,,,,,,,,,,,,,
5919,000402-00-1040,10013,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,,
5920,000402-00-1042,10009,C14,C02,C12,C01,C03,C10,C19,C20,C05,,,,,,,,,,,,,,,,,,
5921,000402-00-1043,10015,C06,C14,C22,C02,C15,C01,C12,C08,,,,,,,,,,,,,,,,,,,
5922,000402-00-1045,10011,C04,C14,C03,C02,C22,C08,C06,,,,,,,,,,,,,,,,,,,,
5923,000402-00-1048,10018,C21,C06,C03,C14,C15,C22,C12,C19,C01,C10,,,,,,,,,,,,,,,,,
5924,000402-00-1049,10020,C14,C03,C21,C19,C11,,,,,,,,,,,,,,,,,,,,,,
5925,000402-00-1050,10014,C02,C04,C08,C22,C14,C19,C07,,,,,,,,,,,,,,,,,,,,
5926,000402-00-1053,10019,C03,C04,C14,C06,C15,C19,C10,C21,C12,C20,C22,,,,,,,,,,,,,,,,
5927,000402-00-1054,10017,C14,C22,C19,C02,C10,C03,C15,C12,C01,C23,C21,C06,,,,,,,,,,,,,,,
5928,000402-00-1057,10017,C22,C06,C14,C02,C04,C08,C19,,,,,,,,,,,,,,,,,,,,
5929,000402-00-1058,10016,C14,C15,C19,C03,C10,C12,C01,C02,C08,,,,,,,,,,,,,,,,,,
5930,000402-00-1060,10019,C19,C01,C15,C12,C03,C20,C10,,,,,,,,,,,,,,,,,,,,
5931,000402-00-1062,10022,C22,C21,C14,C15,C19,,,,,,,,,,,,,,,,,,,,,,
5932,000402-00-1064,10018,C15,C14,C01,C03,C19,,,,,,,,,,,,,,,,,,,,,,
5933,000402-00-1066,10020,C12,C01,C15,,,,,,,,,,,,,,,,,,,,,,,,
5934,000402-00-1069,10021,C16,C10,C06,C14,C01,C19,,,,,,,,,,,,,,,,,,,,,
5935,000402-00-1070,10021,C15,C19,C04,C03,C01,C23,,,,,,,,,,,,,,,,,,,,,
5936,000402-00-1072,10022,C02,C14,,,,,,,,,,,,,,,,,,,,,,,,,
5937,000402-00-1073,10012,C21,C12,C15,C03,C10,,,,,,,,,,,,,,,,,,,,,,
5938,000402-00-1075,10011,C14,C05,C21,C03,,,,,,,,,,,,,,,,,,,,,,,
5939,000402-00-1078,10013,C14,C06,C15,C21,C08,C19,C01,C03,C10,C20,C12,C16,C18,C07,C11,C17,C22,C23,C02,C04,C13,C09,C05,,,,
5940,000402-00-1079,10015,C14,C10,C12,,,,,,,,,,,,,,,,,,,,,,,,
5941,000402-00-1081,10014,C15,C19,C10,C06,,,,,,,,,,,,,,,,,,,,,,,
5942,000402-00-1083,10017,C12,C10,C03,C20,C21,C06,C15,C02,C14,,,,,,,,,,,,,,,,,,
5943,000402-00-1085,10020,C14,C06,C22,C02,C08,C04,,,,,,,,,,,,,,,,,,,,,
5944,000402-00-1087,10018,C14,C06,C21,C01,C02,C20,,,,,,,,,,,,,,,,,,,,,
5945,000402-00-1089,10000,C14,C04,C22,C08,C02,,,,,,,,,,,,,,,,,,,,,,
5946,000402-00-1091,10001,C08,C14,C21,C22,C23,C04,C05,C09,C11,,,,,,,,,,,,,,,,,,
5947,000402-00-1093,10021,C19,C15,C10,C03,,,,,,,,,,,,,,,,,,,,,,,
5948,000402-00-1094,10002,C03,C12,C06,C21,C19,C20,C04,C14,C22,C08,C07,,,,,,,,,,,,,,,,
5949,000402-00-1096,10003,C03,C12,C19,C01,C14,,,,,,,,,,,,,,,,,,,,,,
5950,000402-00-1097,10005,C03,C19,C15,C12,C06,,,,,,,,,,,,,,,,,,,,,,
5951,000402-00-1098,10019,C14,C01,C06,C22,C10,C03,C21,C02,C23,,,,,,,,,,,,,,,,,,
5952,000402-00-1100,10004,C12,C01,C03,C10,C15,C19,C20,C06,C18,,,,,,,,,,,,,,,,,,
5953,000402-00-1102,10007,C22,C06,C21,C12,C16,C19,C03,C08,C10,,,,,,,,,,,,,,,,,,
5954,000402-00-1105,10022,C06,C14,C05,C22,C01,C03,C19,C11,C07,C12,,,,,,,,,,,,,,,,,
5955,000402-00-1107,10008,C06,C14,C05,C15,C21,C04,C02,C18,,,,,,,,,,,,,,,,,,,
5956,000402-00-1108,10006,C14,C08,C02,C04,C22,,,,,,,,,,,,,,,,,,,,,,
5957,000402-00-1111,10011,C06,C14,C22,C18,C21,C04,C02,,,,,,,,,,,,,,,,,,,,
5958,000402-00-1112,10013,C14,C06,C08,,,,,,,,,,,,,,,,,,,,,,,,
5959,000402-00-1115,10014,C22,C06,C14,C15,C21,C19,,,,,,,,,,,,,,,,,,,,,
5960,000402-00-1116,10019,C19,C15,C14,C03,,,,,,,,,,,,,,,,,,,,,,,
5961,000402-00-1118,10015,C14,C04,C22,C08,C02,,,,,,,,,,,,,,,,,,,,,,
5962,000402-00-1120,10016,C14,C15,C08,C04,C19,,,,,,,,,,,,,,,,,,,,,,
5963,000402-00-1122,10018,C22,C03,C19,C20,C10,C04,C02,,,,,,,,,,,,,,,,,,,,
5964,000402-00-1124,10022,C21,C14,C04,,,,,,,,,,,,,,,,,,,,,,,,
5965,000402-00-1126,10001,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
5966,000402-00-1127,10017,C11,C06,C08,C14,C22,C02,C04,,,,,,,,,,,,,,,,,,,,
5967,000402-00-1129,10000,C06,C04,C03,C07,C15,C14,C22,C02,C11,,,,,,,,,,,,,,,,,,
5968,000402-00-1131,10021,C06,C14,C08,C21,C18,C23,C17,C02,C07,C22,C11,C19,,,,,,,,,,,,,,,
5969,000402-00-1133,10003,C19,C03,,,,,,,,,,,,,,,,,,,,,,,,,
5970,000402-00-1134,10020,C14,C04,C06,C07,C03,,,,,,,,,,,,,,,,,,,,,,
5971,000402-00-1135,10004,C19,C01,C21,C15,C12,C23,,,,,,,,,,,,,,,,,,,,,
5972,000402-00-1138,10005,C22,C14,C06,C15,,,,,,,,,,,,,,,,,,,,,,,
5973,000402-00-1139,10008,C15,C01,C04,C19,C06,C22,C13,C20,C12,,,,,,,,,,,,,,,,,,
5974,000402-00-1142,10010,C14,C06,C22,,,,,,,,,,,,,,,,,,,,,,,,
5975,000402-00-1143,10009,C15,C19,C20,C01,C03,C04,C22,C12,C02,,,,,,,,,,,,,,,,,,
5976,000402-00-1145,10011,C03,C15,C12,C19,C01,C10,C20,C11,,,,,,,,,,,,,,,,,,,
5977,000402-00-1148,10007,C06,C10,C14,C01,C19,C03,,,,,,,,,,,,,,,,,,,,,
5978,000402-00-1149,10002,C02,C14,C22,C04,C08,C15,C17,,,,,,,,,,,,,,,,,,,,
5979,000402-00-1152,10012,C06,C15,C12,C14,C21,C11,C20,C01,C19,,,,,,,,,,,,,,,,,,
5980,000402-00-1153,10013,C06,C14,C12,C15,,,,,,,,,,,,,,,,,,,,,,,
5981,000402-00-1156,10006,C01,C04,C22,,,,,,,,,,,,,,,,,,,,,,,,
5982,000402-00-1158,10016,C08,C04,C22,C13,C16,C17,C18,C21,C23,,,,,,,,,,,,,,,,,,
5983,000402-00-1161,10014,C08,C04,,,,,,,,,,,,,,,,,,,,,,,,,
5984,000402-00-1162,10017,C23,C15,C21,C20,C04,C05,,,,,,,,,,,,,,,,,,,,,
5985,000402-00-1164,10001,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,,
5986,000402-00-0048,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,
5987,000402-00-0049,10011,C10,C14,C15,C19,C06,C21,C22,C03,C04,C05,C08,C11,C09,C07,C02,C01,C23,C20,C18,C17,C16,C13,,,,,
5988,000402-00-0050,10017,C14,C01,C20,C19,C22,C04,C05,C13,C15,C16,,,,,,,,,,,,,,,,,
5989,000402-00-0051,10000,C15,C02,C01,C21,C19,C10,C23,C09,C04,C14,C05,,,,,,,,,,,,,,,,
5990,000402-00-0052,10014,C01,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,000402-00-0053,10021,C19,C15,C03,,,,,,,,,,,,,,,,,,,,,,,,
5992,000402-00-0054,10018,C19,C20,C21,C22,C23,C01,C02,C03,C05,C04,C13,C10,C14,C18,,,,,,,,,,,,,
5993,000402-00-0055,10012,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C01,C02,C03,C04,C05,C06,C07,C08,,,,,,,,
5994,000402-00-0056,10019,C21,C02,C12,C15,C01,C19,C04,C03,WI0,,,,,,,,,,,,,,,,,,
5995,000402-00-0057,10000,C12,C01,C02,C03,C10,C19,C11,C20,C15,,,,,,,,,,,,,,,,,,
5996,000402-00-0003,10000,C04,C07,C14,C02,C22,C01,,,,,,,,,,,,,,,,,,,,,
5997,000201-00-0003,10003,C19,,,,,,,,,,,,,,,,,,,,,,,,,,
5998,000201-00-0005,10002,C01,C10,C20,C19,C12,C03,C15,,,,,,,,,,,,,,,,,,,,
5999,000201-00-0007,10004,C12,C21,C06,,,,,,,,,,,,,,,,,,,,,,,,
6000,000201-00-0008,10005,C13,C03,C02,C21,,,,,,,,,,,,,,,,,,,,,,,
6001,000201-00-0010,10006,C21,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,000201-00-0013,10008,C14,C15,C19,C01,C04,C10,C21,C06,C03,,,,,,,,,,,,,,,,,,
6003,000201-00-0014,10009,C19,C01,,,,,,,,,,,,,,,,,,,,,,,,,
6004,000201-00-0016,10011,C17,C15,C18,,,,,,,,,,,,,,,,,,,,,,,,
6005,000201-00-0018,10010,C01,C19,C15,C20,C22,C12,,,,,,,,,,,,,,,,,,,,,
6006,000201-00-0020,10012,C01,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,000201-00-0021,10013,C01,C20,,,,,,,,,,,,,,,,,,,,,,,,,
6008,000201-00-0023,10014,C01,C19,C20,,,,,,,,,,,,,,,,,,,,,,,,
6009,000201-00-0026,10015,C02,C08,C14,C04,,,,,,,,,,,,,,,,,,,,,,,
6010,000201-00-0028,10016,C04,C19,C20,C01,C02,C03,C10,C12,C14,C15,,,,,,,,,,,,,,,,,
6011,000201-00-0030,10017,C04,C08,C21,C02,,,,,,,,,,,,,,,,,,,,,,,
6012,000201-00-0031,10018,C22,C12,C04,,,,,,,,,,,,,,,,,,,,,,,,
6013,000201-00-0034,10019,C01,C22,C19,C20,C12,C15,,,,,,,,,,,,,,,,,,,,,
6014,000201-00-0036,10022,C01,C22,,,,,,,,,,,,,,,,,,,,,,,,,
6015,000201-00-0038,10000,C01,C20,C12,C10,,,,,,,,,,,,,,,,,,,,,,,
6016,000201-00-0040,10021,C01,C22,C03,C10,C12,C15,C21,,,,,,,,,,,,,,,,,,,,
6017,000201-00-0042,10002,C20,C19,C13,,,,,,,,,,,,,,,,,,,,,,,,
6018,000201-00-0044,10020,C20,C15,C19,C01,C02,C03,C22,C12,C10,C21,C23,C04,C06,C07,C08,C09,C13,C16,C17,C18,C05,C11,C14,,,,
6019,000201-00-0046,10004,C07,C22,C04,C14,C08,C02,C21,,,,,,,,,,,,,,,,,,,,
6020,000201-00-0048,10006,C10,,,,,,,,,,,,,,,,,,,,,,,,,,
6021,000201-00-0050,10005,C12,C15,C19,C01,C21,C20,,,,,,,,,,,,,,,,,,,,,
6022,000201-00-0053,10007,C19,C14,,,,,,,,,,,,,,,,,,,,,,,,,
6023,000201-00-0054,10008,C03,C19,C14,C06,,,,,,,,,,,,,,,,,,,,,,,
6024,000201-00-0056,10003,C04,C22,C21,C14,C02,C06,C19,C01,C03,C10,C07,C23,,,,,,,,,,,,,,,
6025,000201-00-0058,10009,C02,C20,C15,C12,C10,C19,C01,C03,C14,,,,,,,,,,,,,,,,,,
6026,000201-00-0060,10011,C12,C19,C14,C15,C20,C01,C03,C02,C10,,,,,,,,,,,,,,,,,,
6027,000201-00-0061,10010,C19,C12,C15,C01,C10,C20,,,,,,,,,,,,,,,,,,,,,
6028,000201-00-0064,10013,C01,C14,C19,C15,C20,C03,C02,C10,C12,,,,,,,,,,,,,,,,,,
6029,000201-00-0065,10015,C01,C22,,,,,,,,,,,,,,,,,,,,,,,,,
6030,000201-00-0067,10012,C22,C14,C03,C21,C18,C13,,,,,,,,,,,,,,,,,,,,,
6031,000201-00-0070,10017,C19,C01,C03,C02,C04,C05,C10,C12,,,,,,,,,,,,,,,,,,,
6032,000201-00-0071,10014,C22,C14,C06,C04,C08,C02,C21,,,,,,,,,,,,,,,,,,,,
6033,000201-00-0074,10019,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,,
6034,000201-00-0075,10016,C19,C01,C12,C15,C14,C11,C10,C09,C08,C07,C02,C03,C20,C04,C17,C21,C18,C22,C23,C05,C06,C13,C16,,,,
6035,000201-00-0077,10021,C20,C03,C19,C12,C01,C10,C15,,,,,,,,,,,,,,,,,,,,
6036,000201-00-0079,10020,C03,C20,C19,C12,C10,C01,C15,,,,,,,,,,,,,,,,,,,,
6037,000201-00-0082,10018,C22,C19,C14,C20,C01,C02,C03,C10,C12,C15,C11,C09,C07,C05,C06,C21,C23,C08,C04,C13,C16,C17,C18,,,,
6038,000201-00-0083,10000,C19,C12,C14,C03,C04,C20,C21,C01,C15,,,,,,,,,,,,,,,,,,
6039,000201-00-0086,10000,C19,C20,C03,C01,C10,C02,C21,C22,C04,,,,,,,,,,,,,,,,,,
6040,000201-00-0087,10000,C01,C20,C12,C10,C19,C04,C02,,,,,,,,,,,,,,,,,,,,
6041,000201-00-0090,10000,C19,C20,,,,,,,,,,,,,,,,,,,,,,,,,
6042,000201-00-0092,10000,C19,,,,,,,,,,,,,,,,,,,,,,,,,,
6043,000201-00-0094,10000,C19,C20,C01,C02,C03,C15,C12,C10,C21,C22,,,,,,,,,,,,,,,,,
6044,000201-00-0095,10004,C21,C03,,,,,,,,,,,,,,,,,,,,,,,,,
6045,000201-00-0097,10005,C19,C01,C15,,,,,,,,,,,,,,,,,,,,,,,,
6046,000201-00-0099,10002,C03,C05,C06,C04,C09,C13,,,,,,,,,,,,,,,,,,,,,
6047,000201-00-0102,10003,C19,C01,C15,C12,C03,C10,C20,,,,,,,,,,,,,,,,,,,,
6048,000201-00-0104,10006,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
6049,000201-00-0105,10007,C03,C01,C19,C14,C12,C20,C04,,,,,,,,,,,,,,,,,,,,
6050,000201-00-0108,10008,C02,,,,,,,,,,,,,,,,,,,,,,,,,,
6051,000201-00-0109,10009,C01,C03,C19,C22,C15,C13,C10,C12,,,,,,,,,,,,,,,,,,,
6052,000201-00-0112,10011,C04,C10,C14,,,,,,,,,,,,,,,,,,,,,,,,
6053,000201-00-0114,10010,C15,C21,C22,C01,C06,C12,,,,,,,,,,,,,,,,,,,,,
6054,000201-00-0115,10012,C06,C14,C19,C21,C22,C08,C03,,,,,,,,,,,,,,,,,,,,
6055,000201-00-0118,10014,C10,C14,C22,C06,C07,C02,,,,,,,,,,,,,,,,,,,,,
6056,000201-00-0119,10013,C22,C06,C14,C19,C03,C01,,,,,,,,,,,,,,,,,,,,,
6057,000201-00-0122,10022,C21,C01,C19,C14,C10,C04,C22,C12,C02,C03,,,,,,,,,,,,,,,,,
6058,000201-00-0123,10015,C19,C22,C06,C02,C10,,,,,,,,,,,,,,,,,,,,,,
6059,000201-00-0125,10017,C12,C22,C21,C14,C15,C19,C06,,,,,,,,,,,,,,,,,,,,
