,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
2668,000301-00-0840,C04,C15,C01,C13,,,,,,,,,,,,,,
2669,000301-00-0842,C15,,,,,,,,,,,,,,,,,
2670,000301-00-0845,C06,C08,C01,C14,C15,C16,,,,,,,,,,,,
2671,000301-00-0847,C09,C01,C02,,,,,,,,,,,,,,,
2672,000301-00-0848,C15,C05,,,,,,,,,,,,,,,,
2673,000301-00-0850,C13,C01,C03,C02,,,,,,,,,,,,,,
2674,000301-00-0852,C11,,,,,,,,,,,,,,,,,
2675,000301-00-0855,C15,,,,,,,,,,,,,,,,,
2676,000301-00-0856,C15,C11,C01,,,,,,,,,,,,,,,
2677,000301-00-0859,C15,,,,,,,,,,,,,,,,,
2678,000301-00-0860,C15,,,,,,,,,,,,,,,,,
2679,000301-00-0863,C15,C09,,,,,,,,,,,,,,,,
2680,000301-00-0864,C16,C09,C10,,,,,,,,,,,,,,,
2681,000301-00-0867,C15,,,,,,,,,,,,,,,,,
2682,000301-00-0868,C03,C13,C11,,,,,,,,,,,,,,,
2683,000301-00-0869,C05,C15,C17,,,,,,,,,,,,,,,
2684,000301-00-0871,C15,C11,C02,C13,C01,C05,C03,C12,C10,C09,C14,C16,C17,C18,C06,C07,C08,
2685,000301-00-0873,C15,C13,C17,,,,,,,,,,,,,,,
2686,000301-00-0876,C01,C02,C06,C05,C15,C12,C17,C16,,,,,,,,,,
2687,000301-00-0879,C09,,,,,,,,,,,,,,,,,
2688,000301-00-0881,C15,C13,C17,,,,,,,,,,,,,,,
2689,000301-00-0882,C01,C02,C16,C15,C12,C06,C14,C17,C09,C13,C11,C05,C10,C18,C08,C07,C04,C03
2690,000301-00-0884,C13,C15,C17,,,,,,,,,,,,,,,
2691,000301-00-0886,C16,C17,C09,C06,C14,C12,C01,,,,,,,,,,,
2692,000301-00-0887,C15,,,,,,,,,,,,,,,,,
2693,000302-00-0001,C01,C09,C03,C05,C04,C17,C10,C11,C15,C13,,,,,,,,
2694,000302-00-0002,C05,C12,C15,C02,C13,C11,C01,,,,,,,,,,,
2695,000302-00-0002,C11,C15,,,,,,,,,,,,,,,,
2696,000302-00-0003,C03,C09,C11,C15,C05,overvote,,,,,,,,,,,,
2697,000302-00-0004,C01,C06,C07,C08,C09,C17,C16,C14,,,,,,,,,,
2698,000302-00-0004,overvote,,,,,,,,,,,,,,,,,
2699,000302-00-0005,C15,C05,C03,,,,,,,,,,,,,,,
2700,000302-00-0006,C01,C16,C12,,,,,,,,,,,,,,,
2701,000302-00-0006,C12,C16,C01,C13,C15,C02,,,,,,,,,,,,
2702,000302-00-0007,overvote,,,,,,,,,,,,,,,,,
2703,000302-00-0008,C01,C16,C03,C13,C17,C02,,,,,,,,,,,,
2704,000302-00-0008,C15,,,,,,,,,,,,,,,,,
2705,000302-00-0009,C01,C02,C16,C04,C15,C12,C09,,,,,,,,,,,
2706,000302-00-0009,C13,C04,C01,C11,C15,C03,C02,C05,C09,C14,C16,C17,C18,C12,C06,C07,C10,
2707,000302-00-0010,C16,C13,C04,,,,,,,,,,,,,,,
2708,000302-00-0011,C11,C12,C05,C15,C04,C01,C03,C02,C13,,,,,,,,,
2709,000302-00-0011,C17,C14,C13,C11,C02,,,,,,,,,,,,,
2710,000302-00-0012,C11,C13,C15,C01,C17,,,,,,,,,,,,,
2711,000302-00-0013,C13,C15,C02,C16,C03,C05,C04,C17,C06,C14,C11,C12,C07,C08,C09,C10,C01,C18
2712,000302-00-0013,C16,,,,,,,,,,,,,,,,,
2713,000302-00-0014,WI0,,,,,,,,,,,,,,,,,
2714,000302-00-0015,C01,C03,C05,C10,C12,,,,,,,,,,,,,
2715,000302-00-0015,C04,C02,C16,WI0,,,,,,,,,,,,,,
2716,000302-00-0016,C13,C14,C04,C12,C01,C17,C18,C08,C16,C09,,,,,,,,
2717,000302-00-0017,C16,C01,C02,C04,C05,C07,C11,C13,C14,,,,,,,,,
2718,000302-00-0017,0),,,,,,,,,,,,,,,,,
2719,000302-00-0018,C12,C02,C16,C17,WI0,WI0,WI0,,,,,,,,,,,
2720,000302-00-0019,C15,C14,C01,C02,C04,C05,C12,WI0,,,,,,,,,,
2721,000302-00-0020,C12,C16,C14,C06,C04,C11,C03,,,,,,,,,,,
2722,000302-00-0020,C09,C15,C01,C12,C10,WI0,C17,,,,,,,,,,,
2723,000302-00-0021,C01,C12,C17,C16,C09,C02,C13,,,,,,,,,,,
2724,000302-00-0021,C17,C13,C11,,,,,,,,,,,,,,,
2725,000302-00-0022,C15,overvote,C03,C08,C13,C02,,,,,,,,,,,,
2726,000302-00-0023,C03,C12,C13,C01,C11,,,,,,,,,,,,,
2727,000302-00-0023,overvote,,,,,,,,,,,,,,,,,
2728,000302-00-0024,overvote,,,,,,,,,,,,,,,,,
2729,000302-00-0025,C02,C16,C18,C12,C14,C11,C13,,,,,,,,,,,
2730,000302-00-0025,C18,C12,,,,,,,,,,,,,,,,
2731,000302-00-0026,overvote,C13,overvote,C09,C18,C05,C08,C04,C01,C03,C06,,,,,,,
2732,000302-00-0027,C13,C12,C04,C05,C15,C03,C17,C02,overvote,C08,C09,C10,C06,C14,C16,C01,C11,
2733,000302-00-0028,C02,C04,C11,C05,C03,,,,,,,,,,,,,
2734,000302-00-0028,C15,C05,,,,,,,,,,,,,,,,
2735,000302-00-0029,C13,overvote,overvote,overvote,C07,,,,,,,,,,,,,
2736,000302-00-0030,C17,C09,C01,C11,C15,,,,,,,,,,,,,
2737,000302-00-0030,overvote,,,,,,,,,,,,,,,,,
2738,000302-00-0031,C05,overvote,overvote,,,,,,,,,,,,,,,
2739,000302-00-0032,C11,C13,C01,C02,C03,C17,C18,C05,,,,,,,,,,
2740,000302-00-0033,C15,overvote,C13,C02,C05,,,,,,,,,,,,,
2741,000302-00-0033,C09,C17,C01,C15,C13,C11,C12,C02,C03,C04,,,,,,,,
2742,000302-00-0034,C11,C12,C06,,,,,,,,,,,,,,,
2743,000302-00-0034,C15,C14,C13,C10,C11,C12,C16,C17,C18,C01,C03,C04,C02,C05,C06,C07,overvote,
2744,000302-00-0035,C05,C06,C15,C01,C04,,,,,,,,,,,,,
2745,000302-00-0035,C13,C14,C01,C03,C11,,,,,,,,,,,,,
2746,000302-00-0036,C11,C12,C13,C14,C15,C16,C17,C18,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10
2747,000302-00-0036,C15,C07,WI0,,,,,,,,,,,,,,,
2748,000302-00-0037,C16,C07,C08,C18,C01,C02,C03,overvote,C06,C09,C11,C10,C12,C14,C13,,,
2749,000302-00-0038,C11,C05,C13,C15,C02,C06,C14,C16,C17,C18,C01,C04,C03,C10,C12,C07,C09,
2750,000302-00-0039,C03,C11,C05,C09,,,,,,,,,,,,,,
2751,000302-00-0039,C05,C03,C15,C02,C01,,,,,,,,,,,,,
2752,000302-00-0040,C11,C01,C05,,,,,,,,,,,,,,,
2753,000302-00-0040,C13,C16,C14,C03,C11,C12,C04,C02,,,,,,,,,,
2754,000302-00-0041,C15,C05,C01,C03,C04,,,,,,,,,,,,,
2755,000302-00-0042,C13,C03,C02,C16,C10,C11,C17,C09,C14,,,,,,,,,
2756,000302-00-0043,C16,C02,C03,C12,C01,,,,,,,,,,,,,
2757,000302-00-0043,C09,C12,C16,C01,C06,C13,,,,,,,,,,,,
2758,000302-00-0044,C15,,,,,,,,,,,,,,,,,
2759,000302-00-0045,C15,,,,,,,,,,,,,,,,,
2760,000302-00-0045,C09,C14,C17,,,,,,,,,,,,,,,
2761,000302-00-0046,C13,C03,C16,C15,C17,C18,overvote,C02,C05,C06,C07,C08,C09,C10,C11,C12,C14,
2762,000302-00-0047,C01,C16,C13,C17,C11,C05,,,,,,,,,,,,
2763,000302-00-0047,overvote,,,,,,,,,,,,,,,,,
2764,000302-00-0048,C01,C16,,,,,,,,,,,,,,,,
2765,000302-00-0048,C15,C13,C02,C11,C07,C05,C03,C17,C08,C01,C10,C09,C16,C06,C04,,,
2766,000302-00-0050,C01,C16,C13,C17,C11,C05,C03,C06,,,,,,,,,,
2767,000302-00-0052,C01,C16,C11,,,,,,,,,,,,,,,
2768,000302-00-0055,C13,C01,C16,C15,C02,C11,C03,C05,C12,,,,,,,,,
2769,000302-00-0057,C16,C09,C12,C01,C15,C05,,,,,,,,,,,,
2770,000302-00-0058,C02,C12,C16,C13,C01,C17,C05,,,,,,,,,,,
2771,000302-00-0060,C01,C04,C16,C13,,,,,,,,,,,,,,
2772,000302-00-0061,C01,,,,,,,,,,,,,,,,,
2773,000302-00-0063,C01,C16,C13,C02,C06,C10,,,,,,,,,,,,
2774,000302-00-0066,C13,C11,C15,C02,C03,C12,C04,C05,C01,,,,,,,,,
2775,000302-00-0068,C17,C01,C03,C13,C10,,,,,,,,,,,,,
2776,000302-00-0069,C13,C05,C01,,,,,,,,,,,,,,,
2777,000302-00-0071,C04,C09,C01,C05,C03,,,,,,,,,,,,,
2778,000302-00-0073,C04,C13,C16,,,,,,,,,,,,,,,
2779,000302-00-0075,C05,,,,,,,,,,,,,,,,,
2780,000302-00-0078,C16,C09,C01,C17,C12,C02,C13,,,,,,,,,,,
2781,000302-00-0079,C12,C01,C17,C09,C16,,,,,,,,,,,,,
2782,000302-00-0082,C01,C14,C11,C03,C15,C05,C02,C12,C17,,,,,,,,,
2783,000302-00-0083,C01,C02,C04,C13,C05,C16,,,,,,,,,,,,
2784,000302-00-0085,C01,C15,C11,C13,C17,C05,,,,,,,,,,,,
2785,000302-00-0087,C05,C17,C13,C11,C12,C01,C02,,,,,,,,,,,
2786,000302-00-0089,C03,C01,C09,C17,C12,C13,C11,C16,,,,,,,,,,
2787,000302-00-0090,C03,C01,C17,C09,C12,C15,C05,C16,C11,,,,,,,,,
2788,000302-00-0093,C13,C11,C15,C01,C02,C05,C04,C03,C06,C08,C07,C09,C10,C12,C14,C16,C18,C17
2789,000302-00-0095,C13,C02,C17,C16,,,,,,,,,,,,,,
2790,000302-00-0096,C03,C04,C16,,,,,,,,,,,,,,,
2791,000302-00-0098,C13,C03,C02,C11,C01,C15,C06,C07,C08,C09,C10,C14,C16,C17,C18,C04,C05,C12
2792,000302-00-0102,C13,C15,C16,C03,,,,,,,,,,,,,,
2793,000302-00-0103,C13,C16,C11,C03,C09,,,,,,,,,,,,,
2794,000302-00-0105,C11,C13,C01,C15,C02,C03,,,,,,,,,,,,
2795,000302-00-0106,C15,C13,C01,C16,,,,,,,,,,,,,,
2796,000302-00-0107,0),,,,,,,,,,,,,,,,,
2797,000302-00-0108,C03,C05,C08,C15,C04,C14,,,,,,,,,,,,
2798,000302-00-0109,C01,C16,C12,C11,C15,C13,C05,C02,C03,,,,,,,,,
2799,000302-00-0109,overvote,C06,C07,C08,overvote,C09,C10,,,,,,,,,,,
2800,000302-00-0110,C16,,,,,,,,,,,,,,,,,
2801,000302-00-0112,C16,C14,C12,C09,C01,,,,,,,,,,,,,
2802,000302-00-0113,C09,C16,C01,C15,C11,C12,C07,C06,C02,C03,C05,C17,C08,C04,C18,C14,C13,C10
2803,000302-00-0115,C04,C05,C01,C09,C12,,,,,,,,,,,,,
2804,000302-00-0117,C03,C01,C04,C11,C13,C16,C05,C02,C07,,,,,,,,,
2805,000302-00-0119,C15,C01,C03,C07,C11,C12,C02,C04,C05,,,,,,,,,
2806,000302-00-0121,C11,C09,,,,,,,,,,,,,,,,
2807,000302-00-0123,C11,C12,C03,C16,C13,C02,C01,,,,,,,,,,,
2808,000302-00-0124,C01,C15,C04,C05,C12,,,,,,,,,,,,,
2809,000302-00-0126,C09,C16,C01,C13,C15,C17,C18,C06,C07,C08,C10,C14,C03,C02,C04,C05,C11,C12
2810,000302-00-0128,C11,C06,C05,C02,C13,,,,,,,,,,,,,
2811,000302-00-0130,C15,C01,C03,C04,C05,C07,C13,C12,C08,,,,,,,,,
2812,000302-00-0132,C17,C13,C02,C03,,,,,,,,,,,,,,
2813,000302-00-0134,C02,C13,C17,,,,,,,,,,,,,,,
2814,000302-00-0135,C16,,,,,,,,,,,,,,,,,
2815,000302-00-0138,C01,C13,C12,C11,C05,C02,C17,C15,,,,,,,,,,
2816,000302-00-0139,C09,C16,,,,,,,,,,,,,,,,
2817,000302-00-0141,C01,C15,C11,C17,C03,C02,C10,C13,C16,,,,,,,,,
2818,000302-00-0144,C01,C18,,,,,,,,,,,,,,,,
2819,000302-00-0146,C15,C05,,,,,,,,,,,,,,,,
2820,000302-00-0147,C08,C05,C02,C07,,,,,,,,,,,,,,
2821,000302-00-0152,C13,C04,C16,C05,C02,C15,C11,C03,,,,,,,,,,
2822,000302-00-0154,C01,C04,C06,C11,C14,C15,C16,C02,C09,,,,,,,,,
2823,000302-00-0156,C15,,,,,,,,,,,,,,,,,
2824,000302-00-0157,C01,C12,C03,,,,,,,,,,,,,,,
2825,000302-00-0159,C01,C12,C13,C11,C05,C02,C15,,,,,,,,,,,
2826,000302-00-0161,C15,,,,,,,,,,,,,,,,,
2827,000302-00-0164,C15,C02,C04,,,,,,,,,,,,,,,
2828,000302-00-0166,C15,C01,C17,,,,,,,,,,,,,,,
2829,000302-00-0168,C15,C17,C16,C01,C03,,,,,,,,,,,,,
2830,000302-00-0170,C15,,,,,,,,,,,,,,,,,
2831,000302-00-0172,C15,C13,C03,,,,,,,,,,,,,,,
2832,000302-00-0174,C16,C01,C15,C05,C02,,,,,,,,,,,,,
2833,000302-00-0176,C15,C01,C02,C03,C07,C08,C09,C10,C11,C12,C13,C14,,,,,,
2834,000302-00-0178,C11,,,,,,,,,,,,,,,,,
2835,000302-00-0180,C15,C11,C12,C13,C01,C02,C03,C04,C05,,,,,,,,,
2836,000302-00-0181,C13,C16,C03,C11,C12,C02,C14,,,,,,,,,,,
2837,000302-00-0184,C16,C01,C04,C03,C13,,,,,,,,,,,,,
2838,000302-00-0187,C18,C10,C16,C04,C02,C09,C13,C01,C15,C14,C17,,,,,,,
2839,000302-00-0188,C15,C05,C17,C09,,,,,,,,,,,,,,
2840,000302-00-0191,C04,C03,C01,,,,,,,,,,,,,,,
2841,000302-00-0192,C15,C05,C17,C09,,,,,,,,,,,,,,
2842,000302-00-0194,C04,C15,C12,C03,C13,C11,C02,C01,C05,C16,C17,C07,C10,C14,C06,C08,C09,C18
2843,000302-00-0197,C16,C07,C15,,,,,,,,,,,,,,,
2844,000302-00-0198,C01,C06,C02,C13,C16,C03,,,,,,,,,,,,
2845,000302-00-0200,C01,C12,C16,,,,,,,,,,,,,,,
2846,000302-00-0202,C15,C01,C04,C03,,,,,,,,,,,,,,
2847,000302-00-0205,C06,,,,,,,,,,,,,,,,,
2848,000302-00-0208,C11,C13,C15,C05,C03,C02,C01,C04,C17,C18,C06,C07,C09,C10,C12,C14,C16,C08
2849,000302-00-0210,C09,C01,C15,C04,C13,C12,C14,,,,,,,,,,,
2850,000302-00-0211,C11,C13,C16,,,,,,,,,,,,,,,
2851,000302-00-0214,C01,C15,C05,C04,,,,,,,,,,,,,,
2852,000302-00-0215,C18,C07,C08,,,,,,,,,,,,,,,
2853,000302-00-0217,C12,C16,C10,C17,C18,C01,C03,C04,C02,C06,C05,C07,C09,C08,C11,C13,C14,C15
2854,000302-00-0219,C04,,,,,,,,,,,,,,,,,
2855,000302-00-0222,C13,C15,C01,C11,C02,C04,C05,C12,C03,C16,,,,,,,,
2856,000302-00-0224,C16,C01,C12,C17,C09,C02,C13,,,,,,,,,,,
2857,000302-00-0226,C15,C05,C03,C16,C01,C04,C13,C12,C07,C08,,,,,,,,
2858,000302-00-0229,C17,C11,,,,,,,,,,,,,,,,
2859,000302-00-0231,C01,C16,C04,C12,,,,,,,,,,,,,,
2860,000302-00-0232,C16,C01,C04,C12,C11,,,,,,,,,,,,,
2861,000302-00-0234,C06,C15,C02,,,,,,,,,,,,,,,
2862,000302-00-0236,C09,C17,C16,,,,,,,,,,,,,,,
2863,000302-00-0238,C13,C11,,,,,,,,,,,,,,,,
2864,000302-00-0240,C15,C05,C11,C06,C02,C13,,,,,,,,,,,,
2865,000302-00-0241,C13,C03,C02,C09,C11,,,,,,,,,,,,,
2866,000302-00-0242,C15,,,,,,,,,,,,,,,,,
2867,000302-00-0245,C11,C13,,,,,,,,,,,,,,,,
2868,000302-00-0246,C16,C01,C13,,,,,,,,,,,,,,,
2869,000302-00-0248,C01,C16,C06,C15,,,,,,,,,,,,,,
2870,000302-00-0251,C18,C12,C01,C02,C13,C16,C05,C11,C14,C03,,,,,,,,
2871,000302-00-0252,C15,C01,C05,,,,,,,,,,,,,,,
2872,000302-00-0254,C13,C15,C03,C11,C12,C01,C05,C04,C02,C14,C16,C17,C18,C06,C07,C08,C09,C10
2873,000302-00-0257,C15,,,,,,,,,,,,,,,,,
2874,000302-00-0258,C05,C01,C15,,,,,,,,,,,,,,,
2875,000302-00-0261,C03,C15,,,,,,,,,,,,,,,,
2876,000302-00-0263,C05,C15,C01,C04,,,,,,,,,,,,,,
2877,000302-00-0264,C05,C15,C03,C11,C04,C01,C13,C12,C02,,,,,,,,,
2878,000302-00-0265,C15,C05,C01,,,,,,,,,,,,,,,
2879,000302-00-0267,C15,C08,C05,C11,C13,C04,C03,C14,C16,C01,C06,C07,C09,C10,C17,,,
2880,000302-00-0269,C11,,,,,,,,,,,,,,,,,
2881,000302-00-0272,C11,,,,,,,,,,,,,,,,,
2882,000302-00-0274,C05,C01,C15,C03,C04,C11,C12,C13,C02,,,,,,,,,
2883,000302-00-0277,C17,,,,,,,,,,,,,,,,,
2884,000302-00-0278,C13,C11,C15,C07,C01,C12,C05,C02,C16,,,,,,,,,
2885,000302-00-0279,C13,C11,C02,C01,,,,,,,,,,,,,,
2886,000302-00-0281,C05,C01,C15,C17,C02,C03,C11,C13,,,,,,,,,,
2887,000302-00-0284,C13,C16,C03,C01,C04,C18,C17,C06,C07,C08,C09,C10,C11,C12,C14,C15,C02,
2888,000302-00-0286,C15,,,,,,,,,,,,,,,,,
2889,000302-00-0288,C05,C13,C01,C06,C04,C15,C12,,,,,,,,,,,
2890,000302-00-0289,C07,C18,C04,C06,,,,,,,,,,,,,,
2891,000302-00-0291,C07,C18,C04,,,,,,,,,,,,,,,
2892,000302-00-0294,C13,,,,,,,,,,,,,,,,,
2893,000302-00-0295,C01,,,,,,,,,,,,,,,,,
2894,000302-00-0299,C11,C12,C13,C15,C01,C02,C03,C04,C05,,,,,,,,,
2895,000302-00-0301,C09,C11,,,,,,,,,,,,,,,,
2896,000302-00-0303,C12,,,,,,,,,,,,,,,,,
2897,000302-00-0305,C01,,,,,,,,,,,,,,,,,
2898,000302-00-0307,C01,,,,,,,,,,,,,,,,,
2899,000302-00-0308,C18,C09,C16,C04,,,,,,,,,,,,,,
2900,000302-00-0312,C11,C13,C03,C01,,,,,,,,,,,,,,
2901,000302-00-0314,C15,C11,,,,,,,,,,,,,,,,
2902,000302-00-0316,C11,C04,,,,,,,,,,,,,,,,
2903,000302-00-0318,C13,,,,,,,,,,,,,,,,,
2904,000302-00-0319,C01,C04,C05,,,,,,,,,,,,,,,
2905,000302-00-0320,C01,C15,C04,C05,C12,C03,,,,,,,,,,,,
2906,000302-00-0322,C15,C01,C05,,,,,,,,,,,,,,,
2907,000302-00-0325,C11,C15,C02,C03,,,,,,,,,,,,,,
2908,000302-00-0326,C15,C11,C13,,,,,,,,,,,,,,,
2909,000302-00-0328,C15,C11,C13,,,,,,,,,,,,,,,
2910,000302-00-0331,C05,C11,C13,C15,C03,,,,,,,,,,,,,
2911,000302-00-0333,C02,C01,C13,C14,C03,C05,C15,C04,C07,C18,C16,C12,C09,C11,C06,C08,C10,C17
2912,000302-00-0334,C11,C01,C13,C02,C03,,,,,,,,,,,,,
2913,000302-00-0336,C05,C04,C12,C01,,,,,,,,,,,,,,
2914,000302-00-0339,C01,C15,C08,C09,C10,C11,C14,C13,C12,C16,C17,C18,C02,C07,C06,C04,C05,C03
2915,000302-00-0340,C11,C17,C15,,,,,,,,,,,,,,,
2916,000302-00-0343,C13,C01,,,,,,,,,,,,,,,,
2917,000302-00-0346,C01,C03,C13,C16,C15,C02,,,,,,,,,,,,
2918,000302-00-0347,C11,C13,C17,C07,C01,,,,,,,,,,,,,
2919,000302-00-0350,C05,C03,C15,,,,,,,,,,,,,,,
2920,000302-00-0352,C01,C02,C17,C03,C11,C05,C15,C13,,,,,,,,,,
2921,000302-00-0353,C02,C01,C16,C04,C12,C11,C15,C18,C03,C10,,,,,,,,
2922,000302-00-0354,C11,C10,C01,,,,,,,,,,,,,,,
2923,000302-00-0357,C06,C16,C07,C13,C10,C14,C17,C18,C08,C09,C05,C04,C03,C02,C01,C15,C12,C11
2924,000302-00-0359,C01,C02,C16,C13,,,,,,,,,,,,,,
2925,000302-00-0360,C12,C11,C15,,,,,,,,,,,,,,,
2926,000302-00-0362,C09,C10,C06,C07,C08,C16,C17,C18,C14,,,,,,,,,
2927,000302-00-0363,C01,C16,,,,,,,,,,,,,,,,
2928,000302-00-0364,C11,C17,C13,C01,C02,,,,,,,,,,,,,
2929,000302-00-0366,C01,C02,C03,C04,C05,C15,C17,,,,,,,,,,,
2930,000302-00-0368,C01,C03,C02,C13,,,,,,,,,,,,,,
2931,000302-00-0370,C13,C11,C15,,,,,,,,,,,,,,,
2932,000302-00-0372,C11,C12,C13,C02,C04,C05,C15,,,,,,,,,,,
2933,000302-00-0374,C13,C11,C12,C15,,,,,,,,,,,,,,
2934,000302-00-0377,C01,C02,C15,,,,,,,,,,,,,,,
2935,000302-00-0379,C17,C15,C11,C08,C05,C12,C10,C09,C01,C02,C03,C04,C06,C07,C14,,,
2936,000302-00-0380,C16,C07,C02,C10,C18,C13,C11,C08,C01,,,,,,,,,
2937,000302-00-0382,C16,C01,C09,C13,C17,C12,C04,C03,,,,,,,,,,
2938,000302-00-0385,C18,C15,C13,C11,C12,C05,C04,C03,C02,C16,C17,,,,,,,
2939,000302-00-0387,C01,C06,C11,C12,C17,C15,C04,C13,C10,C08,C02,C05,C18,C07,C09,C14,C03,
2940,000302-00-0389,C15,,,,,,,,,,,,,,,,,
2941,000302-00-0391,C11,C18,C15,,,,,,,,,,,,,,,
2942,000302-00-0392,C15,C13,C05,C17,C11,,,,,,,,,,,,,
2943,000302-00-0394,C11,C13,,,,,,,,,,,,,,,,
2944,000302-00-0396,C12,C01,C02,C04,C05,C06,C15,C09,,,,,,,,,,
2945,000302-00-0399,C01,C11,C15,C03,,,,,,,,,,,,,,
2946,000302-00-0401,C01,C02,C03,C04,C05,C11,C12,C13,C15,,,,,,,,,
2947,000302-00-0403,C15,C01,C11,,,,,,,,,,,,,,,
2948,000302-00-0404,C12,C16,C02,C01,,,,,,,,,,,,,,
2949,000302-00-0406,C16,C18,C02,C12,,,,,,,,,,,,,,
2950,000302-00-0410,C02,C13,C05,C03,C15,C04,C01,C12,C16,C18,C14,C06,,,,,,
2951,000302-00-0411,C01,C12,C14,C16,C04,C11,C06,,,,,,,,,,,
2952,000302-00-0413,C09,C05,C12,C17,C16,C15,,,,,,,,,,,,
2953,000302-00-0415,C02,C03,C13,,,,,,,,,,,,,,,
2954,000302-00-0416,C01,C13,C15,,,,,,,,,,,,,,,
2955,000302-00-0418,C16,C01,C13,C04,C10,,,,,,,,,,,,,
2956,000302-00-0420,C11,,,,,,,,,,,,,,,,,
2957,000302-00-0421,C13,C17,C02,C01,C11,C03,,,,,,,,,,,,
2958,000302-00-0423,C15,C05,C01,,,,,,,,,,,,,,,
2959,000302-00-0425,C14,,,,,,,,,,,,,,,,,
2960,000302-00-0427,C04,C12,C17,C15,C16,C01,C03,C02,C18,C05,C06,C07,C08,C09,C10,C11,C13,C14
2961,000302-00-0428,C04,C14,C16,C09,C06,C07,,,,,,,,,,,,
2962,000302-00-0429,C13,C02,C11,C01,,,,,,,,,,,,,,
2963,000302-00-0432,C01,C15,C05,C03,,,,,,,,,,,,,,
2964,000302-00-0435,C13,C11,C15,C03,C05,C02,C16,,,,,,,,,,,
2965,000302-00-0436,C16,C17,C12,C06,C09,C11,C15,C02,C01,,,,,,,,,
2966,000302-00-0438,C17,C13,C05,C12,,,,,,,,,,,,,,
2967,000302-00-0440,C11,,,,,,,,,,,,,,,,,
2968,000302-00-0444,C09,C01,C12,C13,,,,,,,,,,,,,,
2969,000302-00-0445,C16,C14,C01,C13,C12,C02,C11,C05,C15,,,,,,,,,
2970,000302-00-0447,C05,C15,C01,,,,,,,,,,,,,,,
2971,000302-00-0449,C15,C09,C17,,,,,,,,,,,,,,,
2972,000302-00-0451,C13,C11,C12,C02,C03,C10,,,,,,,,,,,,
2973,000302-00-0454,C15,,,,,,,,,,,,,,,,,
2974,000302-00-0457,C15,,,,,,,,,,,,,,,,,
2975,000302-00-0459,C02,C13,C11,C12,C17,C16,C09,,,,,,,,,,,
2976,000302-00-0461,C06,,,,,,,,,,,,,,,,,
2977,000302-00-0465,C13,C01,C02,C03,C15,C17,C04,C11,,,,,,,,,,
2978,000302-00-0466,C16,C01,C02,C09,C06,C05,,,,,,,,,,,,
2979,000302-00-0469,C16,C01,C02,C15,,,,,,,,,,,,,,
2980,000302-00-0471,C15,,,,,,,,,,,,,,,,,
2981,000302-00-0473,C11,C13,,,,,,,,,,,,,,,,
2982,000302-00-0474,C16,C01,C02,C13,C17,C14,,,,,,,,,,,,
2983,000302-00-0475,C03,C13,C14,,,,,,,,,,,,,,,
2984,000302-00-0476,C01,,,,,,,,,,,,,,,,,
2985,000302-00-0478,C01,C17,C12,C15,C16,,,,,,,,,,,,,
2986,000302-00-0480,C16,C07,C15,,,,,,,,,,,,,,,
2987,000302-00-0482,C16,,,,,,,,,,,,,,,,,
2988,000302-00-0483,C15,C17,C13,C11,,,,,,,,,,,,,,
2989,000302-00-0485,C09,C12,C01,,,,,,,,,,,,,,,
2990,000302-00-0487,C15,,,,,,,,,,,,,,,,,
2991,000302-00-0490,C16,C18,C17,C09,C07,C12,C13,C02,C15,,,,,,,,,
2992,000302-00-0494,C16,C04,C01,,,,,,,,,,,,,,,
2993,000302-00-0496,C13,C04,C02,C12,C03,C07,,,,,,,,,,,,
2994,000302-00-0497,C13,C17,C02,,,,,,,,,,,,,,,
2995,000302-00-0499,C04,C05,C02,C16,C01,C12,C13,C15,,,,,,,,,,
2996,000302-00-0500,C13,C15,C07,C11,C05,C04,C03,C01,C02,C18,C17,C16,C14,C10,C09,C08,C06,
2997,000302-00-0503,C11,C17,C13,C01,C09,C16,,,,,,,,,,,,
2998,000302-00-0505,C01,C05,C15,,,,,,,,,,,,,,,
2999,000302-00-0506,C15,C09,C05,C11,C03,,,,,,,,,,,,,
3000,000302-00-0508,C15,C02,C01,C03,C04,C05,,,,,,,,,,,,
3001,000302-00-0509,C16,C10,C09,C08,C07,C18,C17,C14,C03,,,,,,,,,
3002,000302-00-0511,C02,C03,C01,C12,,,,,,,,,,,,,,
3003,000302-00-0513,C17,,,,,,,,,,,,,,,,,
3004,000302-00-0515,C16,C01,,,,,,,,,,,,,,,,
3005,000302-00-0517,C13,,,,,,,,,,,,,,,,,
3006,000302-00-0520,C11,C17,C09,,,,,,,,,,,,,,,
3007,000302-00-0523,C13,C16,,,,,,,,,,,,,,,,
3008,000302-00-0526,C11,C13,C05,C10,,,,,,,,,,,,,,
3009,000302-00-0528,C15,C09,C16,C01,,,,,,,,,,,,,,
3010,000302-00-0529,C11,,,,,,,,,,,,,,,,,
3011,000302-00-0531,C09,,,,,,,,,,,,,,,,,
3012,000302-00-0534,C15,C02,C03,C13,C11,C12,C17,C01,C04,C05,C06,C07,C08,C09,C10,C14,C16,C18
3013,000302-00-0536,C13,C17,C11,C15,,,,,,,,,,,,,,
