,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,24th Choice,25th Choice
951,"001002-00-0352,10014,001,1)",C19,C02,C03,C09,,,,,,,,,,,,,,,,,,,,,
952,"001002-00-0355,10018,001,1)",C02,C05,C23,C18,C09,C04,C03,C17,C01,,,,,,,,,,,,,,,,
953,"001002-00-0356,10016,001,1)",C18,C03,C01,C17,C05,C19,,,,,,,,,,,,,,,,,,,
954,"001002-00-0358,10022,001,1)",C21,C19,C03,C10,,,,,,,,,,,,,,,,,,,,,
955,"001002-00-0360,10020,001,1)",C03,C10,C08,C01,C23,C18,C19,C09,,,,,,,,,,,,,,,,,
956,"001002-00-0362,10012,001,1)",C17,C02,C03,C05,C21,C18,C23,C08,C10,C19,,,,,,,,,,,,,,,
957,"001002-00-0363,10023,001,1)",C02,C05,C23,C24,C01,C09,C04,C03,C17,,,,,,,,,,,,,,,,
958,"001002-00-0366,10021,001,1)",C01,C10,C17,C21,C09,,,,,,,,,,,,,,,,,,,,
959,"001002-00-0367,10019,001,1)",C10,C03,C23,C21,C20,C18,,,,,,,,,,,,,,,,,,,
960,"001002-00-0369,10003,001,1)",C03,C16,C18,C21,C10,,,,,,,,,,,,,,,,,,,,
961,"001002-00-0370,10024,001,1)",C24,C01,C12,C23,C25,,,,,,,,,,,,,,,,,,,,
962,"001002-00-0372,10001,001,1)",C19,C10,C03,C23,C01,,,,,,,,,,,,,,,,,,,,
963,"001002-00-0375,10002,001,1)",C03,C01,C02,C16,C18,C21,C10,,,,,,,,,,,,,,,,,,
964,"001002-00-0377,10006,001,1)",C23,,,,,,,,,,,,,,,,,,,,,,,,
965,"001002-00-0379,10000,001,1)",C01,C09,C03,C17,,,,,,,,,,,,,,,,,,,,,
966,"001002-00-0382,10005,001,1)",C18,C19,C17,C01,,,,,,,,,,,,,,,,,,,,,
967,"001002-00-0384,10007,001,1)",C17,C08,C10,C16,C03,,,,,,,,,,,,,,,,,,,,
968,"001002-00-0385,10004,001,1)",C18,C19,C09,C23,C03,C21,C17,C01,C04,,,,,,,,,,,,,,,,
969,"001002-00-0387,10002,001,1)",C10,C01,,,,,,,,,,,,,,,,,,,,,,,
970,"001002-00-0390,10008,001,1)",C23,C03,C01,C10,C05,C21,C19,,,,,,,,,,,,,,,,,,
971,"001002-00-0391,10000,001,1)",C05,C23,C03,C17,C21,,,,,,,,,,,,,,,,,,,,
972,"001002-00-0392,10014,001,1)",C21,C03,C05,C08,C10,C04,C02,C20,C16,,,,,,,,,,,,,,,,
973,"001002-00-0394,10009,001,1)",C03,C10,C05,,,,,,,,,,,,,,,,,,,,,,
974,"001002-00-0396,10001,001,1)",C23,C09,C21,C17,C11,C03,C01,C22,C25,,,,,,,,,,,,,,,,
975,"001002-00-0398,10000,001,1)",C02,C09,C04,,,,,,,,,,,,,,,,,,,,,,
976,"001002-00-0401,10000,001,1)",C10,C23,C19,C02,C21,C15,,,,,,,,,,,,,,,,,,,
977,"001002-00-0404,10000,001,1)",C17,C05,C19,C21,C02,C03,C10,C08,C18,,,,,,,,,,,,,,,,
978,"001002-00-0406,10000,001,1)",C17,C21,C05,C18,,,,,,,,,,,,,,,,,,,,,
979,"001002-00-0408,10016,001,1)",C19,,,,,,,,,,,,,,,,,,,,,,,,
980,"001002-00-0410,10015,001,1)",C01,C03,C21,C05,C18,C07,C20,C12,C02,C17,C08,C09,,,,,,,,,,,,,
981,"001002-00-0411,10005,001,1)",C16,C10,C23,C03,,,,,,,,,,,,,,,,,,,,,
982,"001002-00-0414,10006,001,1)",C10,,,,,,,,,,,,,,,,,,,,,,,,
983,"001002-00-0416,10000,001,1)",C21,C01,C03,C05,C06,C12,C19,C22,C07,C17,C09,C04,C14,C08,C18,C16,C20,C15,C10,C02,C23,C13,C11,C24,C25
984,"001002-00-0417,10010,001,1)",C23,C21,C03,C05,C09,,,,,,,,,,,,,,,,,,,,
985,"001002-00-0419,10009,001,1)",C10,C02,C17,C19,C18,C08,C05,C20,,,,,,,,,,,,,,,,,
986,"001002-00-0421,10000,001,1)",C16,C21,C03,C19,C01,C02,C10,,,,,,,,,,,,,,,,,,
987,"001002-00-0423,10008,001,1)",C02,C23,C12,C11,C22,,,,,,,,,,,,,,,,,,,,
988,"001002-00-0425,10000,001,1)",C18,C10,,,,,,,,,,,,,,,,,,,,,,,
989,"001002-00-0428,10000,001,1)",C10,C08,C20,C01,,,,,,,,,,,,,,,,,,,,,
990,"001002-00-0429,10000,001,1)",C10,C08,C20,C01,,,,,,,,,,,,,,,,,,,,,
991,"001002-00-0431,10007,001,1)",C08,C10,C16,C23,C15,C03,C20,,,,,,,,,,,,,,,,,,
992,"001002-00-0434,10018,001,1)",C17,C01,C09,C23,C10,C21,C08,,,,,,,,,,,,,,,,,,
993,"001002-00-0435,10013,001,1)",C01,C05,C10,C03,C09,C19,C16,,,,,,,,,,,,,,,,,,
994,"001002-00-0437,10014,001,1)",C10,C23,C16,C03,C18,C08,C21,C20,C09,,,,,,,,,,,,,,,,
995,"001002-00-0440,10012,001,1)",C03,C01,C05,C10,C09,C19,C16,,,,,,,,,,,,,,,,,,
996,"001002-00-0441,10015,001,1)",C19,C03,C02,C05,C08,C09,C10,C15,,,,,,,,,,,,,,,,,
997,"001002-00-0443,10016,001,1)",C01,C23,C03,C10,C18,,,,,,,,,,,,,,,,,,,,
998,"001002-00-0445,10017,001,1)",C01,C03,C10,C21,,,,,,,,,,,,,,,,,,,,,
999,"001002-00-0447,10000,001,1)",C03,C16,C08,C18,C23,C17,C10,,,,,,,,,,,,,,,,,,
1000,"001002-00-0448,10000,001,1)",C08,C16,C18,C03,,,,,,,,,,,,,,,,,,,,,
1001,"001002-00-0450,10000,001,1)",C10,C08,C16,,,,,,,,,,,,,,,,,,,,,,
1002,"001002-00-0452,10000,001,1)",C19,C03,C08,C16,C17,C20,C21,,,,,,,,,,,,,,,,,,
1003,"001002-00-0455,10020,001,1)",C19,C02,C03,C18,C17,,,,,,,,,,,,,,,,,,,,
1004,"001002-00-0457,10017,001,1)",C17,C05,C03,C18,,,,,,,,,,,,,,,,,,,,,
1005,"001002-00-0458,10021,001,1)",C08,C01,C03,C16,C05,C10,C17,C04,C09,,,,,,,,,,,,,,,,
1006,"001002-00-0459,10004,001,1)",C06,C03,C23,C16,C18,C17,C08,C05,C20,,,,,,,,,,,,,,,,
1007,"001002-00-0462,10003,001,1)",C06,C03,C23,C16,C18,C17,C08,C05,C20,,,,,,,,,,,,,,,,
1008,"001002-00-0463,10020,001,1)",C01,C16,C18,C03,C08,C05,,,,,,,,,,,,,,,,,,,
1009,"001002-00-0465,10000,001,1)",C17,C01,C23,,,,,,,,,,,,,,,,,,,,,,
1010,"001002-00-0467,10018,001,1)",C01,C16,C18,,,,,,,,,,,,,,,,,,,,,,
1011,"001002-00-0469,10019,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
1012,"001002-00-0471,10022,001,1)",C17,C02,C23,C03,C18,,,,,,,,,,,,,,,,,,,,
1013,"001002-00-0474,10000,001,1)",C05,C23,C03,C17,C21,C12,C16,C18,,,,,,,,,,,,,,,,,
1014,"001002-00-0475,10000,001,1)",C02,C05,C03,C10,C17,C21,C11,C04,C18,C23,C24,C25,,,,,,,,,,,,,
1015,"001002-00-0476,10000,001,1)",C08,C05,C20,C10,,,,,,,,,,,,,,,,,,,,,
1016,"001002-00-0478,10022,001,1)",C19,C09,C03,C16,C20,,,,,,,,,,,,,,,,,,,,
1017,"001002-00-0480,10000,001,1)",C01,C10,C09,C18,C21,C16,,,,,,,,,,,,,,,,,,,
1018,"001002-00-0482,10024,001,1)",C02,,,,,,,,,,,,,,,,,,,,,,,,
1019,"001002-00-0483,10023,001,1)",C09,C22,C01,C16,C18,C10,C05,C17,C21,C20,C19,C06,,,,,,,,,,,,,
1020,"001002-00-0485,10011,001,1)",C03,C02,C04,C23,C17,C08,,,,,,,,,,,,,,,,,,,
1021,"001002-00-0487,10000,001,1)",C05,C17,C21,C03,C08,,,,,,,,,,,,,,,,,,,,
1022,"001002-00-0488,10004,001,1)",C09,C05,C17,C18,C21,C22,,,,,,,,,,,,,,,,,,,
1023,"001002-00-0491,10000,001,1)",C17,C05,C03,C19,C20,,,,,,,,,,,,,,,,,,,,
1024,"001002-00-0493,10001,001,1)",C23,C03,C05,C21,,,,,,,,,,,,,,,,,,,,,
1025,"001002-00-0495,10003,001,1)",C17,C03,C10,C05,C08,C23,,,,,,,,,,,,,,,,,,,
1026,"001002-00-0496,10024,001,1)",C03,C09,C04,C20,C10,C11,C08,C21,,,,,,,,,,,,,,,,,
1027,"001002-00-0498,10000,001,1)",C17,C05,C03,C18,C19,,,,,,,,,,,,,,,,,,,,
1028,"001002-00-0499,10000,001,1)",C10,C02,C03,C08,C16,C17,C18,C20,C05,C21,C25,,,,,,,,,,,,,,
1029,"001002-00-0503,10000,001,1)",C05,C15,,,,,,,,,,,,,,,,,,,,,,,
1030,"001002-00-0505,10005,001,1)",C03,C05,C17,C18,C10,C21,C23,C20,,,,,,,,,,,,,,,,,
1031,"001002-00-0506,10000,001,1)",C02,C09,C04,,,,,,,,,,,,,,,,,,,,,,
1032,"001002-00-0509,10000,001,1)",C02,C05,C23,C04,C21,C12,C03,C09,C17,C19,,,,,,,,,,,,,,,
1033,"001002-00-0510,10006,001,1)",C21,C09,C15,C03,C02,C08,C16,C18,,,,,,,,,,,,,,,,,
1034,"001002-00-0512,10008,001,1)",C09,C02,C10,,,,,,,,,,,,,,,,,,,,,,
1035,"001002-00-0513,10007,001,1)",C10,C17,C08,C05,C02,C21,C04,C03,C19,,,,,,,,,,,,,,,,
1036,"001002-00-0516,10013,001,1)",C05,C21,C02,C10,,,,,,,,,,,,,,,,,,,,,
1037,"001002-00-0518,10010,001,1)",C03,C01,C19,C10,C08,C04,C18,C12,C11,,,,,,,,,,,,,,,,
1038,"001002-00-0519,10004,001,1)",C03,C08,C18,,,,,,,,,,,,,,,,,,,,,,
1039,"001002-00-0521,10000,001,1)",C03,C05,C18,C08,,,,,,,,,,,,,,,,,,,,,
1040,"001002-00-0522,10014,001,1)",C07,C16,C19,C20,C22,,,,,,,,,,,,,,,,,,,,
1041,"001002-00-0526,10016,001,1)",C03,C10,C17,C18,C20,C01,C04,C16,C19,,,,,,,,,,,,,,,,
1042,"001002-00-0527,10000,001,1)",C05,C18,C08,C23,C17,,,,,,,,,,,,,,,,,,,,
1043,"001002-00-0530,10000,001,1)",C03,C05,C18,C19,C21,,,,,,,,,,,,,,,,,,,,
1044,"001002-00-0532,10000,001,1)",C16,C20,C03,C21,C08,C10,C02,,,,,,,,,,,,,,,,,,
1045,"001002-00-0533,10015,001,1)",C02,C03,C21,C18,C10,,,,,,,,,,,,,,,,,,,,
1046,"001002-00-0536,10000,001,1)",C08,C23,,,,,,,,,,,,,,,,,,,,,,,
1047,"001002-00-0537,10009,001,1)",C08,C03,C10,C19,C23,C05,C17,,,,,,,,,,,,,,,,,,
1048,"001002-00-0539,10000,001,1)",C23,C04,C15,C25,,,,,,,,,,,,,,,,,,,,,
1049,"001002-00-0542,10006,001,1)",C02,C23,C03,C04,C18,,,,,,,,,,,,,,,,,,,,
1050,"001002-00-0544,10017,001,1)",C01,C16,C17,C22,C10,C05,C03,C18,,,,,,,,,,,,,,,,,
1051,"001002-00-0545,10005,001,1)",C05,C17,C18,C21,C03,,,,,,,,,,,,,,,,,,,,
1052,"001002-00-0547,10018,001,1)",C02,C04,C05,C09,C16,C18,,,,,,,,,,,,,,,,,,,
1053,"001002-00-0548,10000,001,1)",C03,C24,C25,C20,C16,C04,C02,,,,,,,,,,,,,,,,,,
1054,"001002-00-0550,10021,001,1)",C17,C10,C01,C05,C09,C04,C19,C02,,,,,,,,,,,,,,,,,
1055,"001002-00-0552,10010,001,1)",C05,C19,C03,C21,C17,C18,,,,,,,,,,,,,,,,,,,
1056,"001002-00-0555,10024,001,1)",C03,C05,C17,C23,C18,C08,C10,C20,C16,,,,,,,,,,,,,,,,
1057,"001002-00-0556,10000,001,1)",C10,C17,C08,,,,,,,,,,,,,,,,,,,,,,
1058,"001002-00-0558,10002,001,1)",C10,C16,C19,C21,C01,,,,,,,,,,,,,,,,,,,,
1059,"001002-00-0561,10001,001,1)",C04,C02,C03,C15,C21,C01,C16,C17,,,,,,,,,,,,,,,,,
1060,"001002-00-0562,10004,001,1)",C03,C02,C05,,,,,,,,,,,,,,,,,,,,,,
1061,"001002-00-0564,10012,001,1)",C03,C02,,,,,,,,,,,,,,,,,,,,,,,
1062,"001002-00-0565,10023,001,1)",C18,C01,C03,C08,C21,C10,C04,C05,C02,C09,,,,,,,,,,,,,,,
1063,"001002-00-0568,10000,001,1)",C03,C23,C22,C18,,,,,,,,,,,,,,,,,,,,,
1064,"001002-00-0570,10000,001,1)",C03,C23,C09,,,,,,,,,,,,,,,,,,,,,,
1065,"001002-00-0572,10000,001,1)",C19,C02,C23,C16,C18,,,,,,,,,,,,,,,,,,,,
1066,"001002-00-0573,10003,001,1)",C02,C03,C05,,,,,,,,,,,,,,,,,,,,,,
1067,"001002-00-0576,10000,001,1)",C05,C02,C10,C17,C08,C03,,,,,,,,,,,,,,,,,,,
1068,"001002-00-0578,10000,001,1)",C04,C02,C09,C19,C21,C05,C01,C10,C03,C23,C17,,,,,,,,,,,,,,
1069,"001002-00-0579,10005,001,1)",C03,C08,C19,C18,C23,C05,C21,C17,,,,,,,,,,,,,,,,,
1070,"001002-00-0580,10009,001,1)",C23,C17,C09,C03,,,,,,,,,,,,,,,,,,,,,
1071,"001002-00-0582,10014,001,1)",C17,C08,C22,,,,,,,,,,,,,,,,,,,,,,
1072,"001002-00-0585,10007,001,1)",C10,C18,C20,C08,,,,,,,,,,,,,,,,,,,,,
1073,"001002-00-0586,10011,001,1)",C23,,,,,,,,,,,,,,,,,,,,,,,,
1074,"001002-00-0588,10010,001,1)",C16,C23,,,,,,,,,,,,,,,,,,,,,,,
1075,"001002-00-0590,10013,001,1)",C02,C04,C21,C09,C17,C05,,,,,,,,,,,,,,,,,,,
1076,"001002-00-0593,10008,001,1)",C07,C03,C09,C23,,,,,,,,,,,,,,,,,,,,,
1077,"001002-00-0595,10000,001,1)",C03,C05,C08,C21,C19,C15,,,,,,,,,,,,,,,,,,,
1078,"001002-00-0597,10000,001,1)",C03,C10,C04,C01,C19,C16,C18,,,,,,,,,,,,,,,,,,
1079,"001002-00-0598,10000,001,1)",C02,C09,C04,C19,C21,,,,,,,,,,,,,,,,,,,,
1080,"001002-00-0600,10014,001,1)",C10,C02,C01,C09,C04,,,,,,,,,,,,,,,,,,,,
1081,"001002-00-0602,10012,001,1)",C10,C23,C15,C17,,,,,,,,,,,,,,,,,,,,,
1082,"001002-00-0603,10015,001,1)",C03,C16,C18,C04,C08,C09,,,,,,,,,,,,,,,,,,,
1083,"001002-00-0605,10015,001,1)",C05,C03,C09,C17,C02,C08,C21,C10,,,,,,,,,,,,,,,,,
1084,"001002-00-0608,10013,001,1)",C23,C07,C04,C14,C13,C15,C17,C19,C22,C24,C25,C01,C02,C06,C09,C10,C11,C12,C16,C18,C20,C21,C03,C05,C08
1085,"001002-00-0610,10016,001,1)",C03,C10,C04,C01,C19,C16,C18,C21,C23,,,,,,,,,,,,,,,,
1086,"001002-00-0612,10013,001,1)",C03,,,,,,,,,,,,,,,,,,,,,,,,
1087,"001002-00-0614,10017,001,1)",C02,C17,C03,C21,,,,,,,,,,,,,,,,,,,,,
1088,"001002-00-0616,10014,001,1)",C23,C05,C04,C02,,,,,,,,,,,,,,,,,,,,,
1089,"001002-00-0618,10019,001,1)",C10,C02,C05,C01,C19,C21,C16,C08,C18,,,,,,,,,,,,,,,,
1090,"001002-00-0621,10023,001,1)",C01,C09,C05,C03,C12,C22,,,,,,,,,,,,,,,,,,,
1091,"001002-00-0622,10021,001,1)",C04,C02,C03,C09,C17,C21,C06,C25,C11,,,,,,,,,,,,,,,,
1092,"001002-00-0624,10020,001,1)",C11,C03,C21,C05,C02,C06,C04,C17,C09,C18,C24,,,,,,,,,,,,,,
1093,"001002-00-0627,10024,001,1)",C02,C04,C05,C17,C10,,,,,,,,,,,,,,,,,,,,
1094,"001002-00-0628,10011,001,1)",C02,C01,C03,C18,C17,C21,C23,C08,C04,,,,,,,,,,,,,,,,
1095,"001002-00-0631,10024,001,1)",C04,C25,C03,C10,C20,C19,C08,,,,,,,,,,,,,,,,,,
1096,"001002-00-0633,10001,001,1)",C25,C17,,,,,,,,,,,,,,,,,,,,,,,
1097,"001002-00-0634,10022,001,1)",C17,C01,C08,C05,C09,C03,C04,C18,,,,,,,,,,,,,,,,,
1098,"001002-00-0637,10023,001,1)",C23,C09,C17,C03,C19,,,,,,,,,,,,,,,,,,,,
1099,"001002-00-0639,10019,001,1)",C02,C04,C09,C05,C23,C10,C03,C17,C08,,,,,,,,,,,,,,,,
1100,"001002-00-0640,10000,001,1)",C02,C09,C17,C10,C21,,,,,,,,,,,,,,,,,,,,
1101,"001002-00-0642,10017,001,1)",C02,C09,C04,C23,C17,C01,,,,,,,,,,,,,,,,,,,
1102,"001002-00-0645,10016,001,1)",C02,C09,C04,C23,C03,C19,C01,C05,C17,C18,,,,,,,,,,,,,,,
1103,"001002-00-0646,10018,001,1)",C02,C04,C09,C23,C05,C10,C03,C17,C08,,,,,,,,,,,,,,,,
1104,"001002-00-0648,10021,001,1)",C05,C10,,,,,,,,,,,,,,,,,,,,,,,
1105,"001002-00-0649,10020,001,1)",C05,C17,C10,,,,,,,,,,,,,,,,,,,,,,
1106,"001002-00-0650,10023,001,1)",C04,C02,C17,C21,,,,,,,,,,,,,,,,,,,,,
1107,"001002-00-0652,10003,001,1)",C08,C17,C16,C23,,,,,,,,,,,,,,,,,,,,,
1108,"001002-00-0655,10000,001,1)",C02,C01,C03,C04,C08,C18,C20,C22,C17,,,,,,,,,,,,,,,,
1109,"001002-00-0656,10024,001,1)",C05,C10,C02,C16,C20,,,,,,,,,,,,,,,,,,,,
1110,"001002-00-0657,10002,001,1)",C03,C05,C10,C08,C20,C02,C19,C04,,,,,,,,,,,,,,,,,
1111,"001002-00-0659,10002,001,1)",C23,C08,C03,C10,C18,C16,,,,,,,,,,,,,,,,,,,
1112,"001002-00-0661,10003,001,1)",C21,C02,C05,,,,,,,,,,,,,,,,,,,,,,
1113,"001002-00-0663,10004,001,1)",C05,C02,C21,,,,,,,,,,,,,,,,,,,,,,
1114,"001002-00-0665,10004,001,1)",C17,C02,C23,C09,C04,C05,,,,,,,,,,,,,,,,,,,
1115,"001002-00-0666,10001,001,1)",C03,C17,C02,C04,C05,C23,C21,C10,,,,,,,,,,,,,,,,,
1116,"001002-00-0668,10005,001,1)",C10,C02,C03,C04,C08,C17,C18,C20,C19,,,,,,,,,,,,,,,,
1117,"001002-00-0670,10006,001,1)",C09,C22,C19,C15,C06,C18,C21,C20,C03,C05,C08,C16,C23,C10,C12,,,,,,,,,,
1118,"001002-00-0671,10007,001,1)",C01,C08,C03,,,,,,,,,,,,,,,,,,,,,,
1119,"001002-00-0674,10006,001,1)",C02,C04,C09,C17,C05,C23,C19,,,,,,,,,,,,,,,,,,
1120,"001002-00-0676,10005,001,1)",C02,C04,C09,C19,C17,C10,C23,C01,,,,,,,,,,,,,,,,,
1121,"001002-00-0677,10009,001,1)",C02,,,,,,,,,,,,,,,,,,,,,,,,
1122,"001002-00-0678,10010,001,1)",C02,,,,,,,,,,,,,,,,,,,,,,,,
1123,"001002-00-0679,10008,001,1)",C01,C11,C16,C20,C24,,,,,,,,,,,,,,,,,,,,
1124,"001002-00-0682,10011,001,1)",C02,C17,C03,C01,C21,,,,,,,,,,,,,,,,,,,,
1125,"001002-00-0684,10016,001,1)",C22,C10,C02,C05,C09,C04,,,,,,,,,,,,,,,,,,,
1126,"001002-00-0685,10017,001,1)",C22,C10,C02,C05,,,,,,,,,,,,,,,,,,,,,
1127,"001002-00-0688,10018,001,1)",C25,C21,C17,C05,,,,,,,,,,,,,,,,,,,,,
1128,"001002-00-0689,10022,001,1)",C17,C08,C03,C21,C02,,,,,,,,,,,,,,,,,,,,
1129,"001002-00-0690,10008,001,1)",C18,C10,,,,,,,,,,,,,,,,,,,,,,,
1130,"001002-00-0692,10001,001,1)",C03,C02,C01,C16,C18,C09,C08,C21,C10,,,,,,,,,,,,,,,,
1131,"001002-00-0694,10021,001,1)",C02,C17,C04,C19,C23,C09,C03,C08,C05,C16,C18,C20,C21,C25,C24,C01,C10,C07,C06,,,,,,
1132,"001002-00-0696,10007,001,1)",C10,C04,C01,C02,C21,C18,C03,C09,,,,,,,,,,,,,,,,,
1133,"001002-00-0698,10002,001,1)",C18,C19,,,,,,,,,,,,,,,,,,,,,,,
1134,"001002-00-0701,10020,001,1)",C02,C17,C04,C19,C23,C09,C03,C08,C05,C16,C18,C20,C21,C25,C24,C01,C10,,,,,,,,
1135,"001002-00-0704,10003,001,1)",C17,C01,C10,C09,C05,,,,,,,,,,,,,,,,,,,,
1136,"001002-00-0705,10010,001,1)",C03,,,,,,,,,,,,,,,,,,,,,,,,
1137,"001002-00-0707,10000,001,1)",C02,C03,C10,C09,,,,,,,,,,,,,,,,,,,,,
1138,"001002-00-0708,10009,001,1)",C01,C03,C04,C16,C10,C18,C17,C05,,,,,,,,,,,,,,,,,
1139,"001002-00-0710,10004,001,1)",C05,C03,C19,C23,C17,C18,C16,C21,,,,,,,,,,,,,,,,,
1140,"001002-00-0712,10012,001,1)",C19,C09,C04,C02,,,,,,,,,,,,,,,,,,,,,
1141,"001002-00-0714,10013,001,1)",C19,C09,C04,C02,,,,,,,,,,,,,,,,,,,,,
1142,"001002-00-0716,10015,001,1)",C03,C10,C17,C18,C15,C21,C23,C22,C24,C04,C08,C05,C25,C12,C20,C19,C14,C01,C02,C09,C06,C07,C11,C13,C16
1143,"001002-00-0718,10016,001,1)",C10,C02,C13,C15,C01,,,,,,,,,,,,,,,,,,,,
1144,"001002-00-0720,10005,001,1)",C16,C21,C20,C08,,,,,,,,,,,,,,,,,,,,,
1145,"001002-00-0722,10017,001,1)",C21,C17,C23,C10,C12,C18,C05,C19,,,,,,,,,,,,,,,,,
1146,"001002-00-0723,10006,001,1)",C17,C23,C21,,,,,,,,,,,,,,,,,,,,,,
1147,"001002-00-0726,10018,001,1)",C23,C10,C01,C18,C04,C05,,,,,,,,,,,,,,,,,,,
1148,"001002-00-0728,10020,001,1)",C01,C22,C10,C15,C20,C17,C03,C04,C23,,,,,,,,,,,,,,,,
1149,"001002-00-0730,10019,001,1)",C03,C06,C08,C18,C17,C04,C01,C16,,,,,,,,,,,,,,,,,
1150,"001002-00-0731,10007,001,1)",C03,C09,C18,C10,,,,,,,,,,,,,,,,,,,,,
1151,"001002-00-0734,10012,001,1)",C10,C03,C21,,,,,,,,,,,,,,,,,,,,,,
1152,"001002-00-0736,10004,001,1)",C05,C03,C23,,,,,,,,,,,,,,,,,,,,,,
1153,"001002-00-0738,10005,001,1)",C10,C23,C19,C05,C02,C20,,,,,,,,,,,,,,,,,,,
1154,"001002-00-0739,10007,001,1)",C09,C02,C04,C16,C17,,,,,,,,,,,,,,,,,,,,
1155,"001002-00-0743,10003,001,1)",C14,C16,C04,C06,C07,C09,C10,C11,C12,,,,,,,,,,,,,,,,
1156,"001002-00-0744,10002,001,1)",C08,C20,C03,C05,C10,,,,,,,,,,,,,,,,,,,,
1157,"001002-00-0747,10001,001,1)",C08,C10,C20,C05,C16,,,,,,,,,,,,,,,,,,,,
1158,"001002-00-0748,10006,001,1)",C05,C23,,,,,,,,,,,,,,,,,,,,,,,
1159,"001002-00-0749,10007,001,1)",C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C01,C02,C03,C04,C05,C06,C07
1160,"001002-00-0751,10004,001,1)",C03,C10,C22,C18,C08,C17,C12,C06,C23,C02,C04,,,,,,,,,,,,,,
1161,"001002-00-0752,10008,001,1)",C03,,,,,,,,,,,,,,,,,,,,,,,,
1162,"001002-00-0755,10007,001,1)",C02,C09,C10,C19,C05,C04,C21,C17,,,,,,,,,,,,,,,,,
1163,"001002-00-0756,10006,001,1)",C19,C01,C17,C22,C06,C04,C24,C15,C14,C13,C12,C11,C09,C07,C21,C18,C03,C05,C08,C23,C25,C02,,,
1164,"001002-00-0759,10009,001,1)",C18,C08,C03,C19,C16,C01,C10,,,,,,,,,,,,,,,,,,
1165,"001002-00-0762,10011,001,1)",C17,C21,C10,C18,C05,,,,,,,,,,,,,,,,,,,,
1166,"001002-00-0763,10010,001,1)",C07,,,,,,,,,,,,,,,,,,,,,,,,
1167,"001002-00-0764,10010,001,1)",C03,C02,C01,C18,C16,C09,,,,,,,,,,,,,,,,,,,
1168,"001002-00-0766,10014,001,1)",C10,C16,C02,C03,C17,C01,C18,C05,,,,,,,,,,,,,,,,,
1169,"001002-00-0768,10008,001,1)",C03,C06,C01,C18,C07,C19,,,,,,,,,,,,,,,,,,,
1170,"001002-00-0769,10009,001,1)",C03,C23,C25,C06,C07,C08,C15,,,,,,,,,,,,,,,,,,
1171,"001002-00-0771,10013,001,1)",C24,C18,C16,C21,,,,,,,,,,,,,,,,,,,,,
1172,"001002-00-0773,10017,001,1)",C01,C19,C03,C10,C17,,,,,,,,,,,,,,,,,,,,
1173,"001002-00-0775,10016,001,1)",C02,C03,C16,,,,,,,,,,,,,,,,,,,,,,
1174,"001002-00-0778,10015,001,1)",C02,C03,C16,C18,,,,,,,,,,,,,,,,,,,,,
1175,"001002-00-0780,10018,001,1)",C03,C19,C16,,,,,,,,,,,,,,,,,,,,,,
1176,"001002-00-0782,10019,001,1)",C04,C08,C17,,,,,,,,,,,,,,,,,,,,,,
1177,"001002-00-0783,10020,001,1)",C10,C17,C21,,,,,,,,,,,,,,,,,,,,,,
1178,"001002-00-0785,10021,001,1)",C11,C02,C05,C17,C09,C03,C06,C04,C07,,,,,,,,,,,,,,,,
1179,"001002-00-0787,10022,001,1)",C03,C05,C08,C10,C17,,,,,,,,,,,,,,,,,,,,
1180,"001002-00-0789,10000,001,1)",C04,C05,C10,C01,C23,,,,,,,,,,,,,,,,,,,,
1181,"001002-00-0790,10011,001,1)",C02,C19,C25,C03,C09,,,,,,,,,,,,,,,,,,,,
1182,"001002-00-0792,10024,001,1)",C19,C17,C08,C23,,,,,,,,,,,,,,,,,,,,,
1183,"001002-00-0794,10023,001,1)",C15,C23,C17,C18,C21,C25,C03,C08,C05,C16,C20,,,,,,,,,,,,,,
1184,"001002-00-0797,10014,001,1)",C10,C17,C05,C19,C01,,,,,,,,,,,,,,,,,,,,
1185,"001002-00-0798,10013,001,1)",C05,C21,C16,C04,C03,C10,,,,,,,,,,,,,,,,,,,
1186,"001002-00-0800,10012,001,1)",C03,C10,C18,C23,C08,C12,C20,,,,,,,,,,,,,,,,,,
1187,"001002-00-0802,10003,001,1)",C10,C03,C21,,,,,,,,,,,,,,,,,,,,,,
1188,"001002-00-0803,10004,001,1)",C19,C03,,,,,,,,,,,,,,,,,,,,,,,
1189,"001002-00-0806,10001,001,1)",C08,C20,C01,C10,C05,C16,C02,,,,,,,,,,,,,,,,,,
1190,"001002-00-0808,10005,001,1)",C08,C03,C02,C18,C20,C21,,,,,,,,,,,,,,,,,,,
1191,"001002-00-0809,10007,001,1)",C18,C17,C03,C05,,,,,,,,,,,,,,,,,,,,,
1192,"001002-00-0812,10008,001,1)",C02,C08,C04,,,,,,,,,,,,,,,,,,,,,,
